,date,open,close,high,low,volume
0,1991-04-03,49.0,49.0,49.0,49.0,1
1,1991-04-04,48.76,48.76,48.76,48.76,3
2,1991-04-05,48.52,48.52,48.52,48.52,2
3,1991-04-06,48.28,48.28,48.28,48.28,7
4,1991-04-08,48.04,48.04,48.04,48.04,2
5,1991-04-09,47.8,47.8,47.8,47.8,4
6,1991-04-10,47.56,47.56,47.56,47.56,15
7,1991-04-12,47.08,47.08,47.08,47.08,8
8,1991-04-13,46.84,46.84,46.84,46.84,5
9,1991-04-16,46.38,46.38,46.38,46.38,2
10,1991-04-17,46.15,46.15,46.15,46.15,1
11,1991-04-18,45.92,45.92,45.92,45.92,4
12,1991-04-19,45.69,45.69,45.69,45.69,2
13,1991-04-20,45.46,45.46,45.46,45.46,5
14,1991-04-23,45.0,45.0,45.0,45.0,28
15,1991-04-24,44.78,44.78,44.78,44.78,16
16,1991-04-25,44.56,44.56,44.56,44.56,15
17,1991-04-26,44.34,44.34,44.34,44.34,8
18,1991-04-29,43.9,43.9,43.9,43.9,4
19,1991-04-30,43.68,43.68,43.68,43.68,2
20,1991-05-02,61.14,61.14,61.14,61.14,2
21,1991-05-03,60.84,60.84,60.84,60.84,3
22,1991-05-04,60.53,60.53,60.53,60.53,2
23,1991-05-06,60.53,60.53,60.53,60.53,9
24,1991-05-07,59.93,59.93,59.93,59.93,2
25,1991-05-08,59.63,59.63,59.63,59.63,109
26,1991-05-09,59.34,59.34,59.34,59.34,15
27,1991-05-10,59.04,59.04,59.04,59.04,20
28,1991-05-11,58.75,58.75,58.75,58.75,6
29,1991-05-13,58.46,58.46,58.46,58.46,19
30,1991-05-14,58.16,58.16,58.16,58.16,55
31,1991-05-15,57.87,57.87,57.87,57.87,387
32,1991-05-16,57.57,57.57,57.57,57.57,493
33,1991-05-17,57.29,57.29,57.29,57.29,419
34,1991-05-18,57.01,57.01,57.01,57.01,110
35,1991-05-20,56.73,56.73,56.73,56.73,51
36,1991-05-21,56.45,56.45,56.45,56.45,63
37,1991-05-22,56.17,56.17,56.17,56.17,43
38,1991-05-23,55.89,55.89,55.89,55.89,17
39,1991-05-24,55.61,55.61,55.61,55.61,3
40,1991-05-27,55.05,55.05,55.05,55.05,5
41,1991-05-28,54.77,54.77,54.77,54.77,3
42,1991-05-29,54.51,54.51,54.51,54.51,36
43,1991-05-30,54.24,54.24,54.24,54.24,14
44,1991-05-31,53.98,53.98,53.98,53.98,1
45,1991-06-01,54.24,54.24,54.24,54.24,10
46,1991-06-03,53.44,53.44,53.44,53.44,7
47,1991-06-04,53.18,53.18,53.18,53.18,1
48,1991-06-06,52.65,52.65,52.65,52.65,4
49,1991-06-07,52.38,52.38,52.38,52.38,1
50,1991-06-08,52.11,52.11,52.11,52.11,6
51,1991-06-10,51.85,51.85,51.85,51.85,15
52,1991-06-11,51.6,51.6,51.6,51.6,12
53,1991-06-12,51.34,51.34,51.34,51.34,15
54,1991-06-13,51.09,51.09,51.09,51.09,34
55,1991-06-14,50.84,50.84,50.84,50.84,7
56,1991-06-15,50.59,50.59,50.59,50.59,27
57,1991-06-17,50.34,50.34,50.34,50.34,5
58,1991-06-18,50.08,50.08,50.08,50.08,10
59,1991-06-19,49.83,49.83,49.83,49.83,57
60,1991-06-20,49.58,49.58,49.58,49.58,30
61,1991-06-21,49.33,49.33,49.33,49.33,2
62,1991-06-22,49.08,49.08,49.08,49.08,16
63,1991-06-24,48.84,48.84,48.84,48.84,25
64,1991-06-25,48.6,48.6,48.6,48.6,12
65,1991-06-26,48.36,48.36,48.36,48.36,4
66,1991-06-27,48.12,48.12,48.12,48.12,4
67,1991-06-28,47.89,47.89,47.89,47.89,2
68,1991-07-01,47.41,47.41,47.41,47.41,2
69,1991-07-02,47.17,47.17,47.17,47.17,2
70,1991-07-04,46.7,46.7,46.7,46.7,11
71,1991-07-05,46.46,46.46,46.46,46.46,2
72,1991-07-06,46.23,46.23,46.23,46.23,1
73,1991-07-08,46.01,46.01,46.01,46.01,9
74,1991-07-10,45.56,45.56,45.56,45.56,6
75,1991-07-11,45.34,45.34,45.34,45.34,1
76,1991-07-15,44.67,44.67,44.67,44.67,4
77,1991-07-19,43.77,43.77,43.77,43.77,1
78,1991-07-20,43.55,43.55,43.55,43.55,2
79,1991-07-24,42.92,42.92,42.92,42.92,2
80,1991-07-26,42.5,42.5,42.5,42.5,3
81,1991-07-29,42.08,42.08,42.08,42.08,7
82,1991-07-30,41.87,41.87,41.87,41.87,7
83,1991-07-31,41.66,41.66,41.66,41.66,1
84,1991-08-01,41.45,41.45,41.45,41.45,7
85,1991-08-02,41.24,41.24,41.24,41.24,1
86,1991-08-17,27.6,29.06,29.06,27.14,328
87,1991-08-19,29.42,29.97,29.97,29.06,3100
88,1991-08-20,29.97,28.96,29.97,28.87,1969
89,1991-08-21,28.96,28.6,28.96,28.15,3431
90,1991-08-22,28.6,27.42,28.6,27.42,2841
91,1991-08-23,27.42,27.6,27.87,26.33,4381
92,1991-08-24,27.6,28.69,29.06,27.6,3330
93,1991-08-26,28.69,28.33,28.69,28.15,2772
94,1991-08-27,28.24,27.96,28.33,27.78,2085
95,1991-08-28,28.05,27.78,28.05,27.6,2439
96,1991-08-29,27.69,27.78,27.87,27.6,2296
97,1991-08-30,27.6,27.69,27.78,27.6,2251
98,1991-08-31,27.69,27.6,27.69,27.33,1200
99,1991-09-02,27.6,27.6,27.6,26.96,2316
100,1991-09-03,27.6,27.6,27.6,27.05,2874
101,1991-09-04,27.24,27.33,27.33,27.05,1604
102,1991-09-05,27.05,26.87,27.05,26.33,4840
103,1991-09-06,26.33,25.23,26.33,24.87,3267
104,1991-09-07,25.23,25.51,25.51,24.69,3641
105,1991-09-09,25.23,25.6,25.6,25.23,6297
106,1991-09-10,25.23,25.69,25.69,25.23,4235
107,1991-09-11,25.51,26.51,26.51,25.51,4528
108,1991-09-12,26.42,26.6,26.69,26.33,3524
109,1991-09-13,26.51,26.69,26.69,26.33,7525
110,1991-09-14,26.51,26.6,26.6,26.42,3563
111,1991-09-16,26.33,26.33,26.42,25.96,2240
112,1991-09-17,26.14,26.23,26.23,25.96,3009
113,1991-09-18,25.96,26.14,26.14,25.78,2620
114,1991-09-19,25.96,26.05,26.05,25.78,3475
115,1991-09-20,25.87,25.96,25.96,25.87,2340
116,1991-09-21,25.87,25.96,25.96,25.87,1978
117,1991-09-23,25.87,25.96,25.96,25.87,2078
118,1991-09-24,25.87,25.96,25.96,25.87,1402
119,1991-09-25,25.87,26.14,26.14,25.87,1770
120,1991-09-26,25.96,26.33,26.33,25.96,717
121,1991-09-27,26.33,26.69,26.87,26.33,1476
122,1991-09-28,26.69,26.69,26.87,26.69,1086
123,1991-09-29,26.78,26.87,26.96,26.69,930
124,1991-10-03,26.96,28.96,29.6,26.96,1809
125,1991-10-04,29.15,28.69,29.15,28.24,3931
126,1991-10-05,28.6,29.24,29.42,28.42,2088
127,1991-10-07,29.42,31.69,31.79,29.42,4083
128,1991-10-08,34.33,39.25,39.25,34.15,6514
129,1991-10-09,39.43,47.53,48.07,39.43,6476
130,1991-10-10,47.62,40.34,50.99,37.7,6109
131,1991-10-11,39.98,43.98,43.98,32.97,8566
132,1991-10-12,43.98,44.53,45.16,43.98,3338
133,1991-10-14,44.71,45.34,45.98,44.62,6485
134,1991-10-15,45.25,42.71,45.25,42.16,3610
135,1991-10-16,42.71,42.16,42.71,40.52,3914
136,1991-10-17,42.16,44.53,44.53,42.16,4202
137,1991-10-18,44.62,44.25,45.62,43.98,4856
138,1991-10-19,44.07,43.98,44.16,43.62,1813
139,1991-10-21,43.98,43.8,44.71,43.71,3557
140,1991-10-22,43.98,43.07,43.98,42.8,3335
141,1991-10-23,43.07,43.71,43.8,42.61,3233
142,1991-10-24,43.8,43.98,44.53,43.62,3928
143,1991-10-25,43.98,43.98,43.98,43.71,3579
144,1991-10-26,43.89,43.89,43.98,43.8,2794
145,1991-10-28,43.98,45.62,45.8,43.89,4554
146,1991-10-29,45.8,46.98,47.8,45.8,4894
147,1991-10-30,46.89,47.16,47.62,46.71,3787
148,1991-10-31,47.07,49.26,49.62,47.07,4457
149,1991-11-01,49.44,52.62,53.99,49.44,5810
150,1991-11-02,52.72,52.9,53.44,52.35,3208
151,1991-11-04,53.08,57.72,57.9,52.99,6774
152,1991-11-05,57.81,57.45,59.63,57.45,9460
153,1991-11-06,57.45,54.72,57.63,53.08,6239
154,1991-11-07,54.99,55.26,57.63,54.9,7672
155,1991-11-08,55.45,55.81,55.99,54.35,5690
156,1991-11-09,55.81,59.09,59.27,55.81,4982
157,1991-11-12,59.45,65.55,65.64,59.45,6237
158,1991-11-13,65.64,66.64,67.46,65.64,7705
159,1991-11-14,66.82,66.82,68.0,66.55,4583
160,1991-11-15,66.64,65.27,68.0,65.18,6684
161,1991-11-16,65.27,63.09,65.27,62.63,3476
162,1991-11-18,63.73,54.08,63.73,53.72,4151
163,1991-11-19,53.81,59.45,59.45,53.08,5768
164,1991-11-20,59.45,61.82,62.18,59.45,4697
165,1991-11-21,61.82,58.36,61.82,56.72,3278
166,1991-11-22,58.45,58.72,59.45,56.72,4118
167,1991-11-23,58.54,57.99,59.45,57.99,1717
168,1991-11-25,58.45,52.72,58.45,52.72,2475
169,1991-11-26,56.72,52.72,56.72,52.72,3563
170,1991-11-27,52.72,54.9,54.9,51.9,4550
171,1991-11-28,54.9,53.17,55.45,52.72,4320
172,1991-11-29,53.08,50.99,53.08,50.26,3062
