Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI
2018-03-29,1172.7,1172.7,1157.2,1163.2,1163.4,1.8,0.15%,69,57
2018-03-30,1163.9,1166,1148.3,1161.6,1161.7,-1.7,-0.15%,341,218
2018-04-02,1160.5,1165,1159,1163.9,1163.9,2.2,0.19%,96,252
2018-04-03,1161.5,1163,1154.5,1156.8,1157.3,-6.6,-0.57%,197,327
2018-04-04,1157.7,1159.3,1122.1,1123.1,1123.2,-34.1,-2.95%,1082,773
2018-04-05,1133,1139.7,1129,1139.2,1139.1,15.9,1.42%,734,1078
2018-04-09,1138.7,1152,1136.5,1150.5,1151,11.9,1.04%,542,1343
2018-04-10,1154.8,1156.9,1147.5,1156,1156.5,5.5,0.48%,261,1366
2018-04-11,1155.7,1159,1152.3,1155,1155,-1.5,-0.13%,150,1358
2018-04-12,1156.9,1161.4,1153,1160.7,1160.1,5.1,0.44%,132,1370
2018-04-17,1160.3,1160.3,1150,1152,1152,-8.1,-0.70%,614,1624
2018-04-18,1152,1164.8,1152,1164.5,1164.3,12.3,1.07%,379,1628
2018-04-19,1167.8,1181.9,1167.1,1181.5,1181.5,17.2,1.48%,686,1554
2018-04-20,1181.5,1190,1178.8,1188.8,1188.8,7.3,0.62%,499,1548
2018-04-23,1188.1,1189.5,1178,1178,1178.4,-10.4,-0.87%,681,1849
2018-04-24,1183.1,1189,1173.8,1180.8,1180.5,2.1,0.18%,1376,1996
2018-04-25,1173,1177.5,1171.3,1173.8,1173.8,-6.7,-0.57%,587,2293
2018-04-26,1177.2,1177.2,1168.1,1171.3,1170.9,-2.9,-0.25%,242,2340
2018-04-27,1173.7,1176,1166.9,1175.2,1174.9,4,0.34%,386,2273
2018-04-30,1177.2,1179.4,1174,1175.7,1175.7,0.8,0.07%,283,2314
2018-05-02,1172.2,1186.5,1170.3,1185.3,1185.3,9.6,0.82%,764,2076
2018-05-03,1184.9,1186.5,1180,1180.7,1180.8,-4.5,-0.38%,486,2007
2018-05-04,1178.4,1180.1,1173.1,1175.2,1174.7,-6.1,-0.52%,1121,2832
2018-05-07,1179,1180.7,1171.3,1175.4,1175.4,0.7,0.06%,170,2852
2018-05-08,1175,1175,1159.5,1163,1163,-12.4,-1.05%,502,3034
2018-05-09,1161.1,1164,1157,1161.6,1161.5,-1.5,-0.13%,437,3077
2018-05-10,1162.3,1163.7,1152.4,1153.5,1153.4,-8.1,-0.70%,483,3098
