Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI
2018-06-28,1051.8,1051.8,1038,1038,1038.6,-6.9,-0.66%,342,232
2018-06-29,1041.5,1045,1034,1038,1038,-0.6,-0.06%,593,385
2018-07-02,1040,1043.5,1031,1042.8,1042.9,4.9,0.47%,571,507
2018-07-03,1036.1,1050.3,1036.1,1049,1049.1,6.2,0.59%,3043,2666
2018-07-04,1045.7,1052.8,1042.6,1049.2,1049.6,0.5,0.05%,731,2739
2018-07-05,1048.1,1049.6,1034.7,1038.6,1038,-11.6,-1.11%,1149,2722
2018-07-06,1036.8,1048.1,1029.5,1045.3,1045.1,7.1,0.68%,1327,2587
2018-07-09,1051,1054,1048,1050.5,1050.8,5.7,0.55%,517,2688
2018-07-10,1054,1065.6,1044.9,1065.5,1065.5,14.7,1.40%,1110,2687
2018-07-11,1059.9,1062.4,1056,1058.9,1059.1,-6.4,-0.60%,580,2795
2018-07-12,1060,1065,1057.6,1061.5,1061.5,2.4,0.23%,505,2809
2018-07-13,1064.7,1065.3,1059,1060.5,1060.5,-1,-0.09%,446,2978
2018-07-16,1058.8,1058.8,1049.4,1052.5,1052.5,-8,-0.75%,273,3056
2018-07-17,1049.7,1055.1,1047,1050.1,1050.9,-1.6,-0.15%,364,3158
2018-07-18,1053.2,1060,1053.2,1060,1060,9.1,0.87%,495,3108
2018-07-19,1061.1,1067,1059.4,1065,1065,5,0.47%,610,3126
2018-07-20,1064.9,1086.7,1064.5,1083.8,1083.5,18.5,1.74%,1155,3390
2018-07-23,1082.8,1094.7,1081,1087,1087.2,3.7,0.34%,593,3408
2018-07-24,1091,1095.5,1082.7,1085.9,1086.7,-0.5,-0.05%,647,3361
2018-07-25,1088,1105,1087.3,1100.9,1100.8,14.1,1.30%,904,3438
2018-07-26,1103.1,1110,1097,1109.1,1108.9,8.1,0.74%,657,3408
2018-07-31,1110.8,1112,1105.5,1112,1111.9,3,0.27%,551,3441
2018-08-01,1114,1125.5,1112,1125,1125.1,13.2,1.19%,768,3486
2018-08-02,1120,1122.7,1110,1113.5,1113.8,-11.3,-1.00%,877,3715
2018-08-03,1114.7,1120.8,1112.9,1117.9,1117.9,4.1,0.37%,635,3834
2018-08-06,1121,1123,1108.1,1111,1111.4,-6.5,-0.58%,781,4035
2018-08-07,1111.4,1120,1107,1116.8,1116.8,5.4,0.49%,908,4092
2018-08-08,1116.7,1128.9,1114.1,1128,1128.3,11.5,1.03%,842,3894
2018-08-09,1126.6,1133.9,1124.7,1128.6,1128.5,0.2,0.02%,677,3963
2018-08-10,1126.9,1126.9,1115.5,1118.4,1118.4,-10.1,-0.89%,799,4053
2018-08-14,1108,1111.9,1102.7,1111.9,1111.8,-6.6,-0.59%,1224,4071
2018-08-15,1108,1108,1094,1095.1,1095.1,-16.7,-1.50%,982,4210
2018-08-16,1090.2,1099.5,1088.5,1098,1098,2.9,0.26%,748,4188
2018-08-17,1101.9,1105.6,1099.1,1099.1,1100,2,0.18%,192,4175
2018-08-20,1105.5,1114.5,1105.5,1112.4,1112.4,12.4,1.13%,365,4081
2018-08-21,1115.8,1115.8,1101.1,1105.5,1105.4,-7,-0.63%,431,4095
2018-08-22,1108.5,1114.9,1106.6,1113,1112.8,7.4,0.67%,419,4078
2018-08-23,1115.5,1119,1112.5,1116.2,1116.3,3.5,0.31%,439,3926
2018-08-24,1112.5,1115.2,1108,1115.2,1115.1,-1.2,-0.11%,266,3909
2018-08-27,1122,1126.1,1120.3,1126.1,1125.9,10.8,0.97%,334,3919
2018-08-28,1131,1131,1125.1,1126.6,1126.9,1,0.09%,549,4005
2018-08-29,1126.9,1133,1124.6,1133,1132.7,5.8,0.51%,463,4015
2018-08-30,1132.7,1133.7,1120.3,1120.5,1121.6,-11.1,-0.98%,604,4070
2018-08-31,1120.4,1128.5,1119,1127.1,1127.4,5.8,0.52%,498,4083
2018-09-03,1123.7,1131,1123.7,1125.8,1125.5,-1.9,-0.17%,206,4099
2018-09-04,1127,1130.4,1117,1117,1117.1,-8.4,-0.75%,750,4273
2018-09-05,1112,1117.3,1100.6,1102,1101.9,-15.2,-1.36%,630,4439
2018-09-06,1102,1107.8,1097.7,1105.6,1105.7,3.8,0.34%,463,4355
2018-09-07,1100,1105.9,1098.3,1103.5,1103.5,-2.2,-0.20%,353,4258
2018-09-10,1099,1105.9,1095.8,1105.9,1105.5,2,0.18%,343,4299
2018-09-11,1103.6,1106,1081,1081,1082.5,-23,-2.08%,993,4432
2018-09-12,1083,1091.1,1081,1089.5,1089.5,7,0.65%,1274,4403
2018-09-13,1100.9,1127.1,1099,1122,1121.1,31.6,2.90%,1620,4430
2018-09-14,1127,1132,1122.2,1127.8,1127.9,6.8,0.61%,880,4483
2018-09-17,1124.7,1125.5,1115,1120.2,1120.1,-7.8,-0.69%,1212,4720
2018-09-18,1120,1146,1116.6,1146,1145.2,25.1,2.24%,1703,4897
2018-09-19,1149.7,1158.4,1145,1147.2,1147.6,2.4,0.21%,2312,5062
2018-09-20,1150.5,1156.5,1148.9,1151.4,1150.5,2.9,0.25%,1155,5346
2018-09-21,1154,1162,1150.5,1152.3,1152,1.5,0.13%,1334,5527
2018-09-24,1148.8,1153.5,1145.5,1148.2,1148.2,-3.8,-0.33%,1239,5864
2018-09-25,1149,1156.6,1147,1153.5,1153.3,5.1,0.44%,1164,5856
2018-09-26,1156,1156,1149,1151.5,1151.5,-1.8,-0.16%,916,6006
2018-09-27,1153,1153,1141,1152.8,1152.7,1.2,0.10%,2441,6452
2018-09-28,1153.5,1155.6,1150.9,1153,1153.2,0.5,0.04%,1422,6641
2018-10-01,1157.1,1159,1155.5,1157.9,1157.8,4.6,0.40%,1484,6222
2018-10-02,1155,1155,1140.7,1146,1146.6,-11.2,-0.97%,2372,6837
2018-10-03,1148.5,1151.3,1141,1142.1,1142,-4.6,-0.40%,1405,7081
2018-10-04,1138,1139.2,1130,1133,1133.2,-8.8,-0.77%,2445,7539
2018-10-05,1129,1132,1124.4,1126.7,1126.8,-6.4,-0.56%,1912,7639
2018-10-08,1124,1130.1,1106.2,1106.2,1107.2,-19.6,-1.74%,3104,8237
2018-10-09,1112.3,1115.9,1103.1,1109.8,1110,2.8,0.25%,1859,8297
2018-10-10,1116,1127,1115.8,1126.5,1126.8,16.8,1.51%,2396,8124
2018-10-11,1086,1102,1085.6,1100.7,1100.6,-26.2,-2.33%,4225,8149
2018-10-12,1104,1111.8,1103.2,1107.2,1107.2,6.6,0.60%,1364,8223
2018-10-16,1107.2,1109.6,1103,1107.8,1108.1,0.9,0.08%,470,8224
2018-10-17,1119,1119,1105,1105.1,1105.2,-2.9,-0.26%,1004,8261
2018-10-18,1102,1107.5,1099,1102.1,1102.4,-2.8,-0.25%,1553,7981
