Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI
2018-09-27,1151.7,1151.7,1137.8,1149.2,1149.3,4.9,0.43%,550,401
2018-09-28,1149.4,1152.5,1148,1150.1,1150,0.7,0.06%,385,643
2018-10-01,1154,1156,1152.5,1154.3,1154.3,4.3,0.37%,365,726
2018-10-02,1152.5,1152.5,1138,1142.9,1143.2,-11.1,-0.96%,1386,1272
2018-10-03,1146.1,1147,1138,1138.6,1138.6,-4.6,-0.40%,618,1393
2018-10-04,1134.5,1135.4,1126.9,1129.8,1130.3,-8.3,-0.73%,632,1661
2018-10-05,1126,1129,1121.1,1123.5,1123.5,-6.8,-0.60%,322,1759
2018-10-08,1119.5,1127,1103.2,1103.6,1103.6,-19.9,-1.77%,647,1945
2018-10-09,1106.5,1112.7,1100,1106.7,1106.7,3.1,0.28%,595,2004
2018-10-10,1109.1,1124,1109.1,1124,1124,17.3,1.56%,569,2076
2018-10-11,1088,1098.8,1084,1096.8,1097.3,-26.7,-2.38%,1279,2140
2018-10-12,1097,1108.6,1097,1104,1104.3,7,0.64%,450,2277
2018-10-16,1106.9,1106.9,1100.9,1104.8,1104.9,0.6,0.05%,266,2329
2018-10-17,1114,1115.5,1102,1102.4,1102.2,-2.7,-0.24%,535,2309
2018-10-18,1097.6,1104.5,1096.2,1099.2,1099.3,-2.9,-0.26%,483,2507
2018-10-19,1096.6,1098.7,1085.4,1087,1087.2,-12.1,-1.10%,1233,2828
2018-10-22,1088.9,1091.1,1082,1083.4,1083.5,-3.7,-0.34%,513,2927
2018-10-24,1074.8,1075,1056,1059.5,1059.5,-24,-2.22%,895,3106
2018-10-25,1040,1077.9,1039,1075.2,1075.6,16.1,1.52%,1749,3494
2018-10-26,1068,1068.7,1052,1052.3,1053.4,-22.2,-2.06%,653,3583
2018-10-29,1054.2,1071.2,1054.2,1070,1070.4,17,1.61%,513,3750
2018-10-30,1065,1073.4,1065,1068.7,1068.9,-1.5,-0.14%,483,3837
2018-10-31,1077,1091,1075.4,1088.2,1088.2,19.3,1.81%,702,3962
2018-11-01,1090.4,1094.4,1084.3,1090,1090,1.8,0.17%,781,3902
2018-11-02,1094.1,1103.8,1093,1097,1097.1,7.1,0.65%,931,3843
2018-11-05,1078.1,1093.1,1078.1,1092.9,1092.5,-4.6,-0.42%,427,3907
2018-11-06,1096.5,1101.4,1088.3,1089,1088.9,-3.6,-0.33%,772,4028
2018-11-07,1094.5,1102.2,1081.1,1102,1101.2,12.3,1.13%,809,4006
2018-11-08,1109.8,1109.8,1097.8,1098.2,1098.5,-2.7,-0.25%,894,4042
2018-11-09,1092.6,1097.3,1090.4,1093.1,1093.1,-5.4,-0.49%,468,4095
2018-11-12,1093.8,1095.1,1082.5,1085.9,1085.4,-7.7,-0.70%,431,4132
2018-11-13,1075,1094,1074,1086,1085.9,0.5,0.05%,731,4191
2018-11-14,1080.6,1088.3,1079,1088.3,1087,1.1,0.10%,455,4240
2018-11-15,1088,1090.8,1073,1073.2,1073.5,-13.5,-1.24%,651,4484
2018-11-16,1074.6,1081,1073.9,1076.6,1076.5,3,0.28%,421,4474
2018-11-19,1075,1079.9,1071.5,1078.3,1078.3,1.8,0.17%,153,4503
2018-11-20,1070.8,1072.5,1062,1062,1062.4,-15.9,-1.47%,799,4667
2018-11-21,1055,1069.3,1055,1067,1066.4,4,0.38%,1048,4801
2018-11-22,1062.8,1066.2,1053.3,1054.3,1054.6,-11.8,-1.11%,480,4844
2018-11-23,1054.8,1071,1051.2,1067.6,1067.5,12.9,1.22%,666,4843
2018-11-26,1068,1075.2,1065,1074,1074.4,6.9,0.65%,465,4890
2018-11-27,1070.8,1076.1,1070.2,1074.7,1074.9,0.5,0.05%,373,4889
2018-11-28,1077,1081,1076.9,1079.1,1078.2,3.3,0.31%,178,4930
2018-11-29,1084.8,1085.1,1076.8,1078.7,1078.9,0.7,0.06%,892,5376
2018-11-30,1080.2,1087,1075,1082,1081.9,3,0.28%,463,5387
2018-12-03,1092.1,1112,1092.1,1112,1110.3,28.4,2.63%,1655,5243
2018-12-04,1110,1111,1106.3,1109.7,1109.4,-0.9,-0.08%,650,5304
2018-12-06,1093.7,1095,1090,1091.2,1091,-18.4,-1.66%,667,5518
2018-12-07,1094.7,1096.9,1087.3,1093,1092.3,1.3,0.12%,709,5696
2018-12-11,1085,1086,1076.5,1078,1078.1,-14.2,-1.30%,930,5729
2018-12-12,1083.4,1085,1077.4,1081,1080.5,2.4,0.22%,552,5838
2018-12-13,1083,1084.5,1065.1,1067,1066.8,-13.7,-1.27%,1327,6030
2018-12-14,1060,1067,1056.5,1062.2,1061.9,-4.9,-0.46%,1499,5935
2018-12-17,1062.4,1066.1,1053.6,1058.3,1058.9,-3,-0.28%,1406,6134
2018-12-18,1054,1054.1,1044.4,1044.4,1045.3,-13.6,-1.28%,1808,6215
2018-12-19,1043,1060.8,1042.5,1059.4,1059.6,14.3,1.37%,1686,6190
2018-12-20,1052.5,1057.7,1046.9,1056.9,1056.9,-2.7,-0.25%,1177,6211
2018-12-21,1051,1063,1049.9,1052.9,1053.9,-3,-0.28%,1607,6268
2018-12-24,1052.5,1058,1047.6,1054.3,1053.9,-,-,1452,6259
2018-12-25,1042,1042,1025.1,1025.1,1025.9,-28,-2.66%,2189,6123
2018-12-26,1024.9,1031,1022,1028.1,1027.9,2,0.19%,1812,6212
2018-12-27,1048,1052.1,1016.5,1016.5,1017.1,-10.8,-1.05%,3487,6869
2018-12-28,1023,1035.5,1022.1,1034.9,1034.5,17.4,1.71%,2452,6803
2019-01-02,1031.7,1039.5,1030,1034.8,1034.2,-0.3,-0.03%,1371,6916
2019-01-03,1039.8,1041.2,1024,1029.2,1029.2,-5,-0.48%,1614,6956
2019-01-04,1026.9,1041,1023.2,1038.9,1039.2,10,0.97%,2236,6953
2019-01-07,1047.5,1055.5,1044.8,1049.1,1049.4,10.2,0.98%,2010,6814
2019-01-08,1053,1054.3,1047.8,1052.8,1052.7,3.3,0.31%,1162,6887
2019-01-09,1060.3,1061.8,1047.5,1052.9,1052.6,-0.1,-0.01%,2001,6990
2019-01-10,1052.5,1054.8,1042,1049.9,1049.8,-2.8,-0.27%,1754,7070
2019-01-11,1053.1,1057.4,1049,1056.7,1056.9,7.1,0.68%,1057,7226
2019-01-14,1051.8,1052,1042,1042.3,1042.8,-14.1,-1.33%,1328,7065
2019-01-15,1046.5,1048.8,1039,1040.8,1041,-1.8,-0.17%,1070,7027
2019-01-16,1044,1048,1034.1,1043.9,1043.5,2.5,0.24%,1383,7047
