Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI
2018-12-27,1040.9,1050,1014.6,1015.1,1014.9,-11,-1.07%,243,180
2018-12-28,1021.1,1034,1020,1033.5,1032.7,17.8,1.75%,632,555
2019-01-02,1028.1,1037,1028,1032.3,1032.9,0.2,0.02%,595,739
2019-01-03,1040,1040,1022.5,1027.4,1027.6,-5.3,-0.51%,1457,968
2019-01-04,1024.6,1038.9,1022.5,1037.4,1037.3,9.7,0.94%,1404,1293
2019-01-07,1046.8,1054.4,1043,1047.6,1048.1,10.8,1.04%,839,1256
2019-01-08,1050,1052.5,1046.4,1051.5,1051.2,3.1,0.30%,451,1329
2019-01-09,1057.9,1060.4,1045.6,1050.8,1050.5,-0.7,-0.07%,697,1451
2019-01-10,1047.7,1053.3,1041,1047.9,1048.4,-2.1,-0.20%,1157,1470
2019-01-11,1052,1055.6,1047.5,1055.4,1055.2,6.8,0.65%,956,1643
2019-01-14,1050.5,1050.5,1040.3,1041,1041.4,-13.8,-1.31%,926,1724
2019-01-15,1044.2,1047,1037.6,1038.8,1039.4,-2,-0.19%,822,1799
2019-01-16,1043.4,1046,1032.8,1041.3,1041.3,1.9,0.18%,1077,1953
2019-01-17,1039.7,1047.9,1039.3,1042.6,1042.5,1.2,0.12%,462,2008
2019-01-18,1047.2,1049.2,1042.4,1046,1046.5,4,0.38%,451,2103
2019-01-21,1049.2,1054,1048.2,1051,1051.1,4.6,0.44%,526,2199
2019-01-22,1043,1060.6,1043,1060.6,1060.2,9.1,0.87%,611,2280
2019-01-23,1055.2,1071.2,1055.2,1067.8,1067.6,7.4,0.70%,1056,2626
2019-01-24,1066.9,1072.5,1065.3,1068.8,1068.8,1.2,0.11%,514,2652
2019-01-25,1075,1075,1067.5,1070.5,1070,1.2,0.11%,487,2713
2019-01-28,1072.5,1074.8,1067.6,1069,1068.8,-1.2,-0.11%,543,2731
2019-01-29,1065.1,1071.7,1065,1071.5,1071.4,2.6,0.24%,508,2735
2019-01-30,1071.9,1077.5,1068,1077.5,1077,5.6,0.52%,661,2629
2019-01-31,1080.7,1084,1078.2,1078.8,1078.5,1.5,0.14%,857,2661
2019-02-01,1078.5,1087,1078.5,1084.9,1084.8,6.3,0.58%,872,2615
2019-02-04,1087,1088,1084.5,1086.1,1085.8,1,0.09%,464,2619
2019-02-05,1086,1087,1081.1,1085.4,1085,-0.8,-0.07%,315,2600
2019-02-06,1085.7,1090,1083.8,1088,1088,3,0.28%,433,2678
2019-02-07,1088,1092.1,1084,1086.6,1086.1,-1.9,-0.17%,533,2766
