date,time,open,high,low,close
20110104,090000,728.04,733.05,726.79,728.32
20110104,100000,728.13,729.95,726.34,726.54
20110104,110000,726.64,729.79,726.54,729.24
20110104,120000,729.42,729.85,725.93,726.83
20110104,140000,725.65,726.15,725.65,723.69
20110104,150000,725.65,726.05,725.65,724.49
20110104,160000,724.49,728.15,725.65,727.9
20110105,090000,729.48,735.41,728.83,731.14
20110105,100000,731.14,733.9,730.64,731.4
20110105,110000,731.58,733.85,729.18,732.95
20110105,120000,733.17,735.13,732.41,734.04
20110105,140000,731.76,732.22,728.83,732.22
20110105,150000,732.34,735.31,730.77,735.02
20110105,160000,734.89,735.05,732.26,733.98
20110106,090000,737.25,737.45,734.92,735.17
20110106,100000,735.17,735.92,729.12,732.22
20110106,110000,732.01,736.42,731.4,735.82
20110106,120000,735.99,736.52,734.74,736.37
20110106,140000,735.18,737.02,728.8,736.29
20110106,150000,736.29,738.12,735.64,737.98
20110106,160000,737.98,738.15,732.16,732.75
20110107,090000,732.01,732.31,729.62,730.87
20110107,100000,730.77,731.64,726.18,727.28
20110107,110000,727.41,730.17,726.79,729.15
20110107,120000,729.15,729.34,725.9,726.24
20110107,140000,726.24,726.69,720.87,720.9
20110107,150000,721.08,725.18,720.87,724.59
20110107,160000,724.59,725.29,720.87,721.31
20110110,090000,718.69,720.12,716.03,716.98
20110110,100000,716.77,717.67,712.22,712.59
20110110,110000,712.59,717.3,711.06,715.44
20110110,120000,715.61,719.66,713.82,717.51
20110110,140000,714.99,718.29,711.41,712.91
20110110,150000,712.91,719.41,712.32,717.55
20110110,160000,717.35,717.55,698.35,706.27
20110111,090000,704.24,706.44,701.48,705.64
20110111,100000,705.53,706.09,702.31,702.72
20110111,110000,702.72,704.32,702.11,704.14
20110111,120000,703.92,705.56,700.58,701.32
20110111,140000,701.32,705.43,699.47,705.23
20110111,150000,705.11,705.16,704.44,704.84
20110111,160000,704.69,705.08,699.78,702.07
20110112,090000,709.39,713.8,706.21,708.76
20110112,100000,708.96,713.09,707.51,712.46
20110112,110000,712.24,713.8,711.45,713.76
20110112,120000,713.76,713.76,710.31,710.93
20110112,140000,712.22,713.17,710.54,711.13
20110112,150000,710.96,713.79,709.83,713.5
20110112,160000,713.63,713.77,703.45,707.07
20110113,090000,714.73,715.68,712.3,712.73
20110113,100000,712.95,714.95,712.3,714.34
20110113,110000,714.53,717.72,712.61,717.44
20110113,120000,717.54,719.63,717.23,719.19
20110113,140000,717.5,720.02,716.93,719.83
20110113,150000,719.82,719.99,717.5,717.9
20110113,160000,717.9,720.02,715.3,720.02
20110114,090000,718.7,718.7,716.87,717.72
20110114,100000,717.57,717.77,716.38,716.73
20110114,110000,716.73,718.7,713.38,714.79
20110114,120000,714.91,715.22,713.38,714.03
20110114,140000,716.11,716.86,713.38,714.61
20110114,150000,714.87,717.15,714.46,716.85
20110114,160000,716.69,718.03,716.29,717.03
20110117,090000,718.0,718.15,712.88,714.45
20110117,100000,714.26,716.9,710.97,716.52
20110117,110000,716.52,717.6,711.59,712.9
20110117,120000,712.7,714.21,710.98,714.01
20110117,140000,715.26,718.25,711.97,717.51
20110117,150000,717.35,717.78,713.45,714.81
20110117,160000,714.59,715.22,709.17,709.69
20110118,090000,711.51,712.3,709.7,710.21
20110118,100000,710.31,710.78,709.7,710.43
20110118,110000,710.29,712.76,709.7,710.31
20110118,120000,710.43,714.39,709.99,713.43
20110118,140000,712.31,714.3,711.42,713.22
20110118,150000,713.22,714.1,711.12,713.68
20110118,160000,713.8,714.76,709.7,711.14
20110119,090000,715.16,717.54,714.99,717.13
20110119,100000,716.93,719.52,716.52,718.65
20110119,110000,718.47,719.19,714.18,715.28
20110119,120000,715.47,717.28,713.67,716.78
20110119,140000,716.78,718.52,713.57,713.77
20110119,150000,713.77,718.48,713.01,717.74
20110119,160000,717.57,719.79,713.92,719.79
20110120,090000,714.69,717.22,711.91,715.95
20110120,100000,716.05,716.3,712.84,714.64
20110120,110000,714.76,716.42,712.15,712.61
20110120,120000,712.61,714.98,708.58,709.67
20110120,140000,705.94,708.97,705.53,708.02
20110120,150000,707.91,710.4,705.53,709.94
20110120,160000,709.94,712.05,708.3,709.27
20110121,090000,702.88,705.76,692.8,699.4
20110121,100000,699.4,703.83,698.94,702.15
20110121,110000,702.25,702.88,694.81,700.45
20110121,120000,700.33,704.49,700.16,702.61
20110121,140000,700.11,701.06,695.05,697.65
20110121,150000,697.78,698.74,695.46,695.97
20110121,160000,695.97,699.36,695.09,698.12
20110124,090000,692.08,692.24,675.93,679.84
20110124,100000,679.54,679.66,669.33,669.63
20110124,110000,669.37,679.92,668.52,679.27
20110124,120000,679.14,679.14,672.94,674.09
20110124,140000,676.2,684.06,674.23,683.27
20110124,150000,683.41,686.11,682.25,685.36
20110124,160000,685.36,685.94,667.79,667.79
20110125,090000,671.39,674.72,659.55,663.01
20110125,100000,663.13,666.26,662.72,665.98
20110125,110000,665.98,671.36,663.58,670.86
20110125,120000,670.6,673.28,667.25,667.75
20110125,140000,668.91,671.62,662.82,663.91
20110125,150000,663.69,667.01,663.29,666.14
20110125,160000,665.95,666.26,665.02,665.9
20110126,090000,671.01,679.85,669.2,674.07
20110126,100000,674.07,679.05,673.2,677.08
20110126,110000,677.08,678.66,676.73,678.01
20110126,120000,678.18,679.49,675.84,676.14
20110126,140000,676.14,679.8,674.71,679.71
20110126,150000,679.71,679.8,671.49,672.41
20110126,160000,672.26,679.25,670.37,678.76
20110127,090000,682.07,682.81,681.77,682.81
20110127,100000,682.59,684.67,680.79,681.44
20110127,110000,681.44,684.57,680.79,684.57
20110127,120000,684.47,686.29,683.92,684.94
20110127,140000,682.79,683.58,680.79,681.2
20110127,150000,681.38,685.98,680.79,684.2
20110127,160000,684.33,686.34,682.68,685.93
20110128,090000,681.65,682.06,677.27,679.42
20110128,100000,679.6,679.85,678.69,678.79
20110128,110000,678.79,681.47,677.73,678.23
20110128,120000,678.41,681.96,676.97,681.06
