datetime,open,high,low,close,volume
2012-12-24 13:05:00,3784,3789,3778,3783,61082
2012-12-24 13:10:00,3783,3790,3782,3787,28179
2012-12-24 13:15:00,3787,3791,3774,3779,51280
2012-12-24 13:20:00,3779,3783,3775,3778,29831
2012-12-24 13:25:00,3777,3780,3775,3778,26922
2012-12-24 13:30:00,3778,3779,3775,3777,18916
2012-12-24 13:35:00,3777,3779,3769,3776,42296
2012-12-24 13:40:00,3776,3781,3776,3778,32751
2012-12-24 13:45:00,3777,3780,3777,3777,8063
2012-12-24 13:50:00,3777,3777,3774,3776,10288
2012-12-24 13:55:00,3776,3778,3776,3777,8915
2012-12-24 14:00:00,3777,3784,3777,3781,29944
2012-12-24 14:05:00,3781,3784,3777,3779,22973
2012-12-24 14:10:00,3780,3780,3777,3777,6645
2012-12-24 14:15:00,3777,3779,3776,3776,12271
2012-12-24 14:35:00,3776,3776,3773,3774,19008
2012-12-24 14:40:00,3774,3778,3773,3775,10784
2012-12-24 14:45:00,3776,3780,3775,3779,10263
2012-12-24 14:50:00,3780,3784,3779,3782,17679
2012-12-24 14:55:00,3781,3785,3781,3785,22348
2012-12-24 15:00:00,3784,3785,3780,3783,12965
2012-12-24 15:05:00,3782,3785,3781,3785,9117
2012-12-24 15:10:00,3784,3786,3781,3785,14146
2012-12-24 15:15:00,3786,3786,3781,3781,16460
2012-12-24 15:20:00,3781,3783,3781,3782,4101
2012-12-24 15:25:00,3783,3793,3782,3789,43312
2012-12-24 15:30:00,3789,3790,3786,3789,20486
2012-12-24 17:35:00,3791,3792,3786,3787,16485
2012-12-24 17:40:00,3787,3788,3784,3784,14937
2012-12-24 17:45:00,3785,3787,3783,3786,12370
2012-12-24 17:50:00,3786,3786,3783,3785,8547
2012-12-24 17:55:00,3785,3788,3784,3787,7000
2012-12-24 18:00:00,3787,3789,3785,3789,6398
2012-12-24 18:05:00,3789,3790,3784,3785,14000
2012-12-24 18:10:00,3784,3787,3784,3785,5330
2012-12-24 18:15:00,3786,3788,3784,3786,4976
2012-12-24 18:20:00,3787,3787,3783,3786,12058
2012-12-24 18:25:00,3785,3786,3784,3786,4981
2012-12-24 18:30:00,3786,3787,3784,3786,7466
2012-12-24 18:35:00,3786,3786,3784,3785,4244
2012-12-24 18:40:00,3785,3786,3782,3786,13292
