Date,Open,High,Low,Close,Volume
2005-01-02,2952.29,2989.61,2942.69,2979.82,0
2005-01-09,2980.30,2986.07,2914.00,2948.22,0
2005-01-16,2948.11,2976.33,2927.62,2940.87,0
2005-01-23,2939.68,2977.99,2916.08,2955.89,0
2005-01-30,2958.07,3038.31,2958.07,3037.13,0
2005-02-06,3037.21,3080.08,3035.37,3079.85,0
2005-02-13,3079.93,3091.64,3057.17,3072.04,0
2005-02-20,3072.31,3079.89,3007.08,3062.72,0
2005-02-27,3063.85,3106.86,3054.03,3106.86,0
2005-03-06,3106.98,3117.77,3048.60,3060.36,0
2005-03-13,3060.06,3086.48,3025.33,3053.54,0
2005-03-20,3052.39,3063.41,3019.29,3060.67,0
2005-03-27,3060.02,3080.25,3037.81,3061.11,0
2005-04-03,3060.00,3100.72,3026.18,3088.92,0
2005-04-10,3088.47,3088.47,3013.79,3013.89,0
2005-04-17,3009.93,3009.93,2931.18,2976.39,0
2005-04-24,2975.37,2990.88,2911.48,2930.10,0
2005-05-01,2931.97,3022.54,2931.97,3019.26,0
2005-05-08,3018.05,3018.32,2965.88,2994.52,0
2005-05-15,2994.27,3060.30,2976.73,3050.45,0
2005-05-22,3051.53,3091.66,3051.53,3084.00,0
2005-05-29,3084.08,3139.91,3070.48,3114.27,0
2005-06-05,3114.04,3153.09,3094.43,3143.85,0
2005-06-12,3145.04,3193.34,3137.88,3178.48,0
2005-06-19,3178.01,3195.43,3150.02,3161.00,0
2005-06-26,3160.65,3208.94,3123.03,3208.54,0
2005-07-03,3209.14,3233.58,3079.89,3224.52,0
2005-07-10,3225.33,3292.08,3223.75,3278.58,0
2005-07-17,3279.16,3329.67,3268.82,3292.92,0
2005-07-24,3294.85,3346.56,3284.85,3326.51,0
2005-07-31,3326.17,3351.28,3280.49,3280.49,0
2005-08-07,3281.13,3370.84,3281.13,3334.15,0
2005-08-14,3334.34,3343.35,3270.10,3328.17,0
2005-08-21,3328.84,3340.12,3224.10,3224.10,0
2005-08-28,3222.52,3293.10,3196.65,3274.42,0
2005-09-04,3275.08,3365.98,3275.08,3359.65,0
2005-09-11,3361.10,3378.23,3325.26,3366.57,0
2005-09-18,3366.39,3379.42,3292.44,3331.55,0
2005-09-25,3335.00,3438.76,3335.00,3428.51,0
2005-10-02,3429.45,3464.24,3362.63,3374.10,0
2005-10-09,3374.92,3405.63,3316.15,3349.58,0
2005-10-16,3349.70,3368.42,3264.92,3271.05,0
2005-10-23,3271.03,3324.13,3212.07,3245.21,0
2005-10-30,3250.10,3364.71,3250.10,3355.28,0
2005-11-06,3355.00,3407.64,3340.34,3406.23,0
2005-11-13,3405.94,3447.66,3380.83,3427.18,0
2005-11-20,3428.25,3474.27,3426.95,3466.08,0
2005-11-27,3467.64,3521.05,3438.91,3519.63,0
2005-12-04,3519.90,3530.71,3477.77,3500.80,0
2005-12-11,3501.33,3566.64,3501.33,3556.76,0
2005-12-18,3554.74,3607.94,3537.46,3599.47,0
2005-12-25,3599.47,3621.89,3572.16,3578.93,0
2006-01-01,3578.73,3666.99,3578.73,3666.99,0
2006-01-08,3667.10,3685.99,3618.06,3629.25,0
2006-01-15,3628.73,3649.10,3550.16,3550.80,0
2006-01-22,3550.24,3685.48,3515.07,3685.48,0
2006-01-29,3684.38,3745.14,3652.76,3678.48,0
2006-02-05,3678.87,3735.14,3637.93,3695.63,0
2006-02-12,3696.09,3777.16,3684.83,3767.70,0
2006-02-19,3767.11,3831.16,3749.88,3826.00,0
2006-02-26,3828.99,3840.56,3715.35,3733.95,0
2006-03-05,3737.58,3798.46,3702.04,3798.46,0
2006-03-12,3801.03,3874.64,3801.03,3832.43,0
2006-03-19,3833.25,3878.49,3811.02,3870.89,0
2006-03-26,3872.28,3881.69,3799.04,3853.74,0
2006-04-02,3859.99,3881.11,3822.26,3823.11,0
2006-04-09,3822.35,3843.62,3753.47,3779.94,0
2006-04-16,3779.23,3892.35,3749.71,3888.46,0
2006-04-23,3884.57,3892.16,3832.10,3839.90,0
2006-04-30,3839.24,3879.31,3806.35,3874.32,0
2006-05-07,3877.74,3897.40,3750.44,3750.44,0
2006-05-14,3746.40,3750.42,3558.27,3625.33,0
2006-05-21,3622.35,3699.80,3527.05,3699.80,0
2006-05-28,3696.48,3696.48,3542.41,3636.89,0
2006-06-04,3636.83,3638.59,3462.37,3520.99,0
2006-06-11,3519.43,3544.27,3379.66,3463.56,0
2006-06-18,3469.88,3571.24,3453.14,3550.15,0
2006-06-25,3554.07,3655.02,3484.71,3648.92,0
2006-07-02,3648.91,3670.75,3607.81,3651.33,0
2006-07-09,3645.42,3671.09,3508.25,3508.25,0
2006-07-16,3512.22,3612.48,3462.77,3557.08,0
2006-07-23,3559.34,3711.41,3559.34,3710.60,0
2006-07-30,3708.82,3729.29,3632.51,3718.09,0
2006-08-06,3707.49,3712.22,3638.55,3675.10,0
2006-08-13,3690.09,3807.48,3690.09,3791.40,0
2006-08-20,3789.99,3797.91,3743.26,3781.17,0
2006-08-27,3778.79,3836.22,3758.87,3820.89,0
2006-09-03,3824.02,3839.30,3729.77,3750.08,0
2006-09-10,3745.78,3825.15,3709.81,3812.11,0
2006-09-17,3813.73,3867.74,3770.36,3812.73,0
2006-09-24,3815.13,3921.15,3802.47,3899.41,0
2006-10-01,3902.03,3950.06,3858.87,3940.31,0
2006-10-08,3932.33,4008.67,3921.81,3999.07,0
2006-10-15,4000.30,4016.63,3947.39,3998.19,0
2006-10-22,4001.63,4047.54,3982.02,4017.27,0
2006-10-29,4007.26,4029.57,3961.64,3990.46,0
2006-11-05,3991.47,4081.70,3991.47,4063.84,0
2006-11-12,4063.01,4116.79,4059.51,4078.36,0
2006-11-19,4074.59,4118.40,4028.30,4048.16,0
