datetime,open,high,low,close,volume
2018-12-30,33.06,33.56,31.34,33.50,32000114
2019-01-06,33.50,34.55,32.69,33.13,45970997
2019-01-13,33.13,33.44,31.83,32.76,42675132
2019-01-20,33.06,34.05,31.89,33.06,50919845
2019-01-27,33.31,35.41,32.88,34.73,84320380
2019-02-10,34.73,36.95,34.73,34.92,77483094
2019-02-17,34.98,36.15,34.42,35.16,91809609
2019-02-24,35.29,39.17,35.29,38.62,188293337
2019-03-03,38.99,42.87,38.56,38.56,241192343
2019-03-10,38.37,43.37,37.94,42.63,202912636
2019-03-17,44.11,47.25,42.01,45.71,262820687
2019-03-24,45.03,47.07,42.32,45.53,184916802
2019-03-31,46.14,49.97,46.14,48.12,169116534
2019-04-07,48.61,52.25,46.64,48.55,243613195
2019-04-14,49.47,50.40,44.11,45.46,192971436
2019-04-21,44.17,44.66,42.13,43.00,148077115
2019-04-28,43.49,44.17,42.44,42.94,52927590
2019-05-05,41.27,41.27,38.62,41.12,165238929
2019-05-12,40.29,42.28,39.39,39.97,93274440
2019-05-19,39.77,40.54,37.01,37.52,89373214
2019-05-26,37.72,38.94,37.27,38.04,86446791
2019-06-02,37.78,38.42,36.43,36.63,77333507
2019-06-09,36.95,42.02,36.43,40.93,145082651
2019-06-16,40.93,41.96,39.65,41.19,88232842
2019-06-23,41.25,41.57,39.20,39.97,71261883
2019-06-30,40.48,43.11,39.71,41.12,154134224
2019-07-07,40.93,41.12,37.52,39.39,152078995
2019-07-14,39.58,41.96,38.87,41.77,157606591
2019-07-21,41.89,41.96,39.39,40.99,141950802
2019-07-28,41.25,41.38,36.82,37.33,132371440
2019-08-04,37.14,37.72,35.85,36.63,94823955
2019-08-11,36.50,37.07,35.34,36.30,57075692
2019-08-18,36.56,39.71,36.37,39.58,91123168
2019-08-25,39.26,39.77,36.50,36.69,101312643
2019-09-01,36.69,39.52,36.30,39.07,111408813
2019-09-08,39.58,40.80,38.62,40.74,88478729
2019-09-15,40.80,41.38,39.90,40.42,106652572
2019-09-22,40.48,40.54,38.49,38.68,83166609
2019-09-29,38.55,39.26,38.49,38.62,12006860
2019-10-06,39.13,43.18,38.49,42.73,133400126
2019-10-13,43.11,48.06,41.32,42.22,251360876
2019-10-20,42.41,44.01,40.99,42.66,154171180
2019-10-27,42.47,42.60,39.97,41.77,114759277
2019-11-03,41.96,44.21,41.51,41.83,150889836
2019-11-10,41.70,41.83,40.03,40.42,75109421
2019-11-17,40.16,44.08,40.16,42.54,98017166
2019-11-24,42.86,44.85,41.89,42.54,142950735
2019-12-01,42.66,44.53,42.54,43.05,96599379
2019-12-08,43.11,45.49,43.11,44.79,122884526
