datetime,open,high,low,close,volume,openinterest
2019-01-02,50.66,51.46,50.39,51.12,426147,0
2019-01-03,50.61,51.05,50.11,50.64,492071,0
2019-01-04,50.20,51.17,49.28,50.46,665486,0
2019-01-07,50.86,51.42,50.35,50.97,689444,0
2019-01-08,51.11,52.17,50.25,50.53,931211,0
2019-01-09,50.97,51.42,50.36,50.50,639429,0
2019-01-10,51.47,51.47,49.54,49.69,741981,0
2019-01-11,49.66,50.63,49.17,49.92,624774,0
2019-01-14,49.92,49.92,47.69,48.16,1938958,0
2019-01-15,48.46,48.92,47.69,48.84,815765,0
2019-01-16,49.29,49.29,48.10,48.41,690729,0
2019-01-17,48.58,48.78,48.16,48.41,441538,0
2019-01-18,48.22,48.68,48.13,48.59,735614,0
2019-01-21,48.87,49.92,48.63,49.82,897978,0
2019-01-22,49.63,49.94,48.20,49.13,870333,0
2019-01-23,49.00,49.82,48.65,49.65,565014,0
2019-01-24,49.42,50.13,49.13,50.08,523341,0
2019-01-25,49.61,51.46,49.61,50.57,1179137,0
2019-01-28,50.65,51.57,50.29,51.10,605208,0
2019-01-29,50.58,51.23,49.61,49.99,608798,0
2019-01-30,49.99,51.36,49.66,50.99,775617,0
2019-01-31,50.88,51.94,50.06,50.36,449625,0
2019-02-01,50.46,52.37,50.46,52.25,1109227,0
2019-02-11,52.24,52.78,51.62,52.53,869345,0
2019-02-12,52.55,53.32,52.32,53.32,810688,0
2019-02-13,54.25,55.14,53.32,54.24,1945481,0
2019-02-14,53.78,54.24,53.03,53.70,1237504,0
2019-02-15,53.62,54.31,52.84,53.74,1251098,0
2019-02-18,54.34,56.32,53.94,55.94,2025805,0
2019-02-19,55.88,56.77,55.41,56.24,1280097,0
2019-02-20,56.84,59.23,56.27,57.91,1909488,0
2019-02-21,58.34,60.54,57.31,58.36,1727177,0
2019-02-22,58.72,64.19,57.82,64.19,2914960,0
2019-02-25,65.49,70.61,64.50,69.08,4237231,0
2019-02-26,68.18,70.10,66.01,66.53,2979930,0
2019-02-27,65.51,67.14,64.53,64.89,1607806,0
2019-02-28,64.41,66.39,64.19,66.29,1712005,0
2019-03-01,66.26,66.49,63.86,65.07,1420468,0
2019-03-04,65.50,67.29,65.35,67.08,3292068,0
2019-03-05,66.51,66.90,65.10,66.85,2151495,0
2019-03-06,66.52,68.22,65.43,66.01,2771373,0
2019-03-07,66.12,66.12,62.43,64.79,2447272,0
2019-03-08,62.94,67.79,62.89,64.87,3231434,0
2019-03-11,65.50,67.88,63.55,67.85,3967009,0
2019-03-12,68.42,71.22,68.37,70.33,4909430,0
2019-03-13,69.61,71.05,66.32,67.03,2723894,0
2019-03-14,66.51,68.52,65.30,67.04,1930484,0
2019-03-15,67.03,67.54,65.40,66.22,2042452,0
2019-03-18,66.01,68.54,65.70,68.19,1691534,0
2019-03-19,68.06,68.15,66.37,66.78,1333191,0
2019-03-20,66.78,67.42,65.07,66.92,1358072,0
2019-03-21,66.92,67.96,65.89,66.48,1836805,0
2019-03-22,66.01,66.50,64.78,65.90,1262840,0
2019-03-25,65.88,66.71,64.63,64.77,1536215,0
2019-03-26,65.44,65.44,63.25,63.44,1259871,0
2019-03-27,63.62,64.32,62.07,62.62,1405250,0
2019-03-28,63.07,65.37,62.64,64.27,1447467,0
2019-03-29,63.88,66.72,62.89,66.63,1624236,0
2019-04-01,68.37,68.37,66.23,67.04,2927326,0
2019-04-02,67.14,67.19,66.04,66.48,1639882,0
2019-04-03,66.02,66.52,64.03,65.70,2304166,0
2019-04-04,65.60,67.04,65.09,67.00,2270000,0
2019-04-08,67.00,67.34,64.18,64.54,1918997,0
2019-04-09,65.07,65.57,64.38,65.43,1504532,0
2019-04-10,65.43,65.58,63.92,64.07,1101830,0
2019-04-11,64.06,64.34,60.06,60.07,2592513,0
2019-04-12,60.51,61.92,60.08,61.71,2008862,0
2019-04-15,61.90,63.02,60.96,61.10,1886371,0
2019-04-16,61.11,64.02,59.56,63.63,3059873,0
2019-04-17,62.84,63.96,62.39,62.67,2185179,0
2019-04-18,62.67,63.43,61.25,62.55,1736414,0
2019-04-19,62.11,62.74,60.75,62.71,2013533,0
2019-04-22,62.53,63.52,61.52,62.50,2473478,0
2019-04-23,62.04,62.81,61.00,61.76,1679543,0
2019-04-24,61.81,63.33,61.51,62.52,1433601,0
2019-04-25,62.43,62.72,59.75,60.18,1907221,0
2019-04-26,59.58,61.28,59.58,60.10,1055584,0
2019-04-29,60.15,61.80,58.54,60.08,1614997,0
2019-04-30,60.45,62.89,60.38,62.30,2599615,0
2019-05-06,59.88,61.16,56.06,56.06,2397453,0
2019-05-07,56.80,56.80,54.76,55.15,2295435,0
2019-05-08,55.06,56.20,53.54,55.26,1949437,0
2019-05-09,55.78,56.47,54.64,54.82,1487137,0
2019-05-10,55.62,57.75,55.16,57.30,1542407,0
2019-05-13,57.11,57.83,56.03,56.12,1516454,0
2019-05-14,56.08,56.59,54.82,56.31,1653582,0
2019-05-15,56.27,57.19,56.09,57.08,1425157,0
2019-05-16,57.09,57.73,55.92,56.21,969408,0
2019-05-17,56.23,56.64,53.75,54.32,2006914,0
2019-05-20,53.91,54.58,51.89,53.20,2271267,0
2019-05-21,53.21,54.86,52.62,53.59,2230017,0
2019-05-22,53.59,54.43,52.57,53.46,1465024,0
2019-05-23,53.74,54.01,51.99,52.84,1991105,0
2019-05-24,52.56,53.14,51.17,51.85,1659995,0
2019-05-27,52.24,53.56,51.27,53.37,2265491,0
2019-05-28,53.30,53.66,52.60,52.79,1535789,0
2019-05-29,52.44,54.01,52.44,52.68,2328015,0
2019-05-30,52.56,52.56,49.82,51.04,4388637,0
2019-05-31,50.31,54.03,50.29,52.31,3630541,0
2019-06-03,52.84,53.45,50.40,52.20,4251501,0
2019-06-04,52.15,53.94,51.38,51.99,3300659,0
2019-06-05,53.00,54.84,51.99,54.30,3070836,0
2019-06-06,54.00,54.71,53.30,53.81,2643735,0
2019-06-10,54.46,55.74,53.84,54.59,2295990,0
2019-06-11,54.61,55.44,52.46,55.15,2609309,0
2019-06-12,54.74,55.48,54.49,55.04,1592491,0
2019-06-13,54.71,55.42,54.14,55.17,1609217,0
2019-06-14,55.20,55.26,53.01,53.48,2056231,0
2019-06-17,53.74,54.46,52.33,54.17,1615063,0
2019-06-18,54.72,54.72,53.13,53.74,1928851,0
2019-06-19,55.84,56.93,54.36,54.46,4251107,0
2019-06-20,54.03,55.28,53.77,54.43,2498508,0
2019-06-21,54.68,55.90,54.65,55.22,2248042,0
2019-06-24,54.96,55.68,54.54,54.71,2227905,0
2019-06-25,54.75,54.77,53.01,53.59,2456043,0
2019-06-26,53.61,54.27,53.14,53.58,2360818,0
2019-06-27,54.35,58.94,54.35,58.94,8684946,0
2019-06-28,58.60,59.87,57.59,58.11,9724906,0
2019-07-01,60.10,61.20,58.72,59.40,10489928,0
2019-07-02,59.42,59.49,57.88,58.38,5710131,0
2019-07-03,58.49,58.49,56.13,56.21,5651846,0
2019-07-04,56.26,56.50,55.23,55.71,3160237,0
2019-07-05,55.74,56.86,55.55,56.28,2624136,0
2019-07-08,55.97,56.82,54.83,56.29,3551980,0
2019-07-09,55.76,56.06,54.87,55.36,1929306,0
2019-07-10,55.48,55.71,54.87,54.90,1381045,0
2019-07-11,55.16,55.62,54.78,55.33,1411281,0
2019-07-12,55.45,56.03,54.99,55.49,1341975,0
2019-07-15,55.23,56.61,54.42,56.13,2269687,0
2019-07-16,56.32,57.32,55.99,57.14,3159630,0
2019-07-17,57.76,57.77,56.93,57.27,3123102,0
2019-07-18,57.21,57.21,55.71,56.28,2277950,0
2019-07-19,56.18,57.37,56.13,56.31,2060015,0
2019-07-22,56.38,56.99,54.59,55.57,2710969,0
2019-07-23,55.19,57.75,55.12,57.41,3719928,0
2019-07-24,57.31,59.08,57.08,58.82,4845285,0
2019-07-25,58.94,60.91,58.27,60.13,4943099,0
2019-07-26,60.10,60.71,58.85,59.88,3197621,0
2019-07-29,60.17,61.68,59.98,60.58,3433408,0
2019-07-30,61.00,61.55,60.10,60.33,2777118,0
2019-07-31,60.13,61.61,60.03,60.49,2967915,0
2019-08-01,60.20,60.97,59.87,60.42,2084684,0
2019-08-02,58.30,60.53,57.93,60.32,3093805,0
2019-08-05,59.66,60.42,57.96,58.09,3151611,0
2019-08-06,56.64,58.27,56.05,57.77,3857498,0
2019-08-07,57.88,61.67,57.85,61.00,4919222,0
2019-08-08,60.59,64.89,60.59,64.34,7044325,0
2019-08-09,64.16,69.94,63.99,66.81,9157386,0
2019-08-12,67.64,71.08,66.01,70.77,8196863,0
2019-08-13,70.42,70.73,67.66,69.42,5173384,0
2019-08-14,70.29,72.30,66.81,68.03,7463310,0
2019-08-15,65.36,67.90,64.44,67.39,5808565,0
2019-08-16,67.77,67.81,65.44,65.53,5455330,0
2019-08-19,67.37,72.08,67.19,71.47,12770580,0
