	rpp	spp	rtot%	won%	rnorm%	maxDD%	sharpe	comm%	total	net	2012-12	2013-12	2014-12	2015-12	2016-12	2017-12	2018-12	2019-12	2020-12	2021-12	2022-12
74	8	13	-0.073	0.096	-0.000	91.20	0.150	1.241	230	-7745.20	-0.056	-0.172	-0.141	1.996	-0.252	-0.475	0.075	0.433	-0.033	-0.166	-0.054
23	3	12	-0.135	0.193	-0.000	88.18	0.232	1.323	296	-20794.40	-0.134	-0.470	-0.267	2.430	0.206	0.107	0.058	0.707	0.208	-0.753	0.053
11	2	10	-0.154	0.168	-0.000	83.83	0.192	1.155	405	-14630.40	-0.198	-0.294	-0.312	1.927	0.517	0.002	0.048	0.299	0.263	-0.685	-0.087
42	5	11	-0.196	0.115	-0.000	83.42	0.160	1.490	323	-17872.00	-0.010	-0.269	-0.207	1.539	0.787	-0.419	-0.256	0.471	0.040	-0.504	-0.038
66	7	15	-0.267	0.110	-0.001	90.36	0.218	1.734	210	-23270.00	-0.136	-0.183	-0.221	4.643	-0.320	-0.279	0.298	0.183	0.236	-0.725	-0.037
71	8	10	-0.276	0.098	-0.001	81.68	0.082	2.576	337	-25554.80	-0.129	-0.089	-0.111	1.588	-0.118	-0.255	0.013	0.253	-0.258	-0.330	0.002
31	4	10	-0.286	0.157	-0.001	85.39	0.130	1.498	377	-24985.20	0.002	-0.292	-0.208	1.001	0.333	0.060	0.155	0.255	0.139	-0.694	-0.066
67	7	16	-0.313	0.124	-0.001	85.87	0.108	4.370	187	-27233.60	0.109	-0.240	-0.194	0.851	0.447	-0.364	-0.070	0.690	-0.011	-0.583	-0.025
43	5	12	-0.346	0.141	-0.001	78.17	0.037	28.06	284	-29222.40	-0.077	-0.308	-0.278	0.818	-0.046	-0.211	0.248	0.285	0.342	-0.424	-0.097
7	1	16	-0.367	0.219	-0.001	90.68	0.235	-16.95	234	-38586.80	-0.138	-0.571	-0.291	0.932	0.690	-0.546	0.573	1.204	0.517	-0.668	0.023
8	1	17	-0.510	0.229	-0.001	93.43	0.231	25.81	206	-51349.20	-0.409	-0.620	-0.198	5.716	0.553	-0.400	0.430	-0.378	0.079	-0.564	0.269
13	2	12	-0.516	0.187	-0.001	88.55	0.215	1.808	311	-40284.40	-0.298	-0.431	-0.334	5.325	-0.177	0.176	0.146	0.481	-0.191	-0.708	-0.085
26	3	15	-0.520	0.163	-0.001	85.87	0.073	-0.802	241	-51819.20	-0.356	-0.394	-0.226	0.497	0.515	-0.429	0.103	0.946	0.002	-0.428	0.237
21	3	10	-0.694	0.155	-0.002	89.53	0.137	3.507	387	-49688.80	-0.039	-0.365	-0.189	2.484	0.021	-0.483	-0.029	0.106	0.428	-0.654	0.036
17	2	16	-0.703	0.203	-0.002	91.47	0.171	-2.680	228	-53176.40	-0.150	-0.473	-0.203	2.514	-0.275	-0.296	-0.030	0.989	0.353	-0.704	0.001
1	1	10	-0.737	0.202	-0.002	93.05	0.147	1.695	426	-52948.40	-0.021	-0.339	-0.305	2.113	0.362	-0.045	0.113	0.104	0.049	-0.796	-0.004
28	3	17	-0.742	0.187	-0.002	91.25	0.151	-8.705	199	-52310.00	-0.274	-0.467	-0.189	3.521	0.045	0.103	0.375	-0.399	-0.213	-0.526	-0.053
56	6	15	-0.895	0.124	-0.002	89.66	0.007	-0.382	218	-67745.20	-0.127	-0.269	-0.259	1.357	-0.397	-0.317	-0.151	0.589	-0.216	-0.341	0.280
54	6	13	-1.085	0.122	-0.003	91.87	-0.117	-0.631	255	-66670.40	-0.071	-0.173	-0.182	1.089	-0.330	-0.417	-0.062	0.191	-0.061	-0.360	-0.020
22	3	11	-1.118	0.135	-0.003	89.66	-0.157	-0.767	357	-70794.80	-0.207	-0.230	-0.335	0.872	0.229	-0.296	-0.165	-0.115	0.130	-0.441	0.066
12	2	11	-1.154	0.134	-0.003	92.95	0.062	-4.654	367	-69153.20	-0.346	-0.274	-0.230	1.978	0.225	-0.166	-0.214	0.212	0.120	-0.731	-0.012
44	5	13	0.001	0.154	0.000	88.02	0.127	1.027	261	-1208.00	-0.066	-0.178	-0.171	1.426	-0.221	-0.219	0.373	0.159	0.011	-0.311	-0.039
52	6	11	0.028	0.113	0.000	76.97	0.122	0.955	284	1928.00	-0.038	-0.151	-0.163	0.606	0.525	-0.321	-0.038	0.205	0.336	-0.395	-0.035
65	7	14	0.077	0.147	0.000	90.85	0.209	0.993	212	506.80	-0.051	-0.200	-0.205	2.685	-0.096	0.392	-0.066	0.348	-0.227	-0.633	0.081
2	1	11	0.104	0.206	0.000	87.57	0.291	0.962	361	4157.60	-0.324	-0.284	-0.401	1.928	0.411	-0.038	0.281	0.291	1.483	-0.766	0.002
62	7	11	0.198	0.097	0.000	75.37	0.164	0.665	300	17788.00	-0.074	-0.159	-0.151	0.212	0.875	-0.247	-0.117	0.478	0.247	-0.344	0.009
