,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
123,000001.SZ,20100129,7.0164,7.9282,7.9476,6.6608,7.8797,-0.8632999999999997,-10.956,949558738.0,21047715878.0
122,000001.SZ,20100226,7.2589,7.0197,7.3139,6.7901,7.0164,0.24249999999999972,3.4562,416750178.0,9158631932.0
121,000001.SZ,20100331,7.5014,7.4012,7.8474,7.1684,7.2589,0.2425000000000006,3.3407,613913206.0,14283903300.0
120,000001.SZ,20100430,6.6478,7.5241,7.7148,6.2437,7.5014,-0.8536000000000001,-11.3792,798668034.0,16945568918.0
119,000001.SZ,20100531,5.6616,6.4991,6.5638,5.5032,6.6478,-0.9862000000000002,-14.835,725989718.0,13321433980.0
118,000001.SZ,20100630,5.6616,5.6358,6.0852,5.3351,5.6616,0.0,0.0,508580157.0,9012716252.0
117,000001.SZ,20100930,5.2445,6.1434,6.1434,5.209,5.6616,-0.4170999999999996,-7.3672,702021579.0,12311598256.0
116,000001.SZ,20101029,5.9526,5.3997,6.4862,5.3351,5.2445,0.7081,13.5018,1040358624.0,19465293010.0
115,000001.SZ,20101130,5.2995,5.9785,6.2695,5.2316,5.9526,-0.6531000000000002,-10.9717,1051526914.0,18826587228.0
114,000001.SZ,20101231,5.1055,5.2995,5.4579,5.015,5.2995,-0.19399999999999995,-3.6607,504257986.0,8237111696.0
113,000001.SZ,20110131,4.9503,5.1152,5.4256,4.8048,5.1055,-0.15519999999999978,-3.0399,490373317.0,7744820366.0
112,000001.SZ,20110228,5.1508,4.9535,5.2284,4.9147,4.9503,0.2004999999999999,4.0503,412257500.0,6485081818.0
111,000001.SZ,20110331,5.1993,5.1572,5.487,5.0602,5.1508,0.048499999999999766,0.9416,773432883.0,12606364470.0
110,000001.SZ,20110429,5.8847,5.1993,6.1434,5.196,5.1993,0.6853999999999996,13.1825,1002945860.0,17982608550.0
109,000001.SZ,20110531,5.7101,5.8686,6.0108,5.4967,5.8847,-0.17459999999999987,-2.967,425577466.0,7592393882.0
108,000001.SZ,20110630,5.5194,5.7069,5.7069,5.0926,5.7101,-0.19069999999999965,-3.3397,430302080.0,7170046934.0
107,000001.SZ,20110729,5.6067,5.5452,5.8847,5.3997,5.5194,0.08729999999999993,1.5817,487943667.0,8476510150.0
106,000001.SZ,20110831,5.4482,5.5614,5.6649,5.0279,5.6067,-0.15850000000000009,-2.827,478008292.0,7986213710.0
105,000001.SZ,20110930,5.1863,5.4482,5.5614,5.1217,5.4482,-0.2618999999999998,-4.8071,285725062.0,4728017600.0
104,000001.SZ,20111031,5.4579,5.1572,5.5614,4.9956,5.1863,0.2716000000000003,5.2369,275913391.0,4515378128.0
103,000001.SZ,20111130,5.015,5.4191,5.5582,5.0053,5.4579,-0.44290000000000074,-8.1148,338907738.0,5550801112.0
102,000001.SZ,20111230,5.0408,5.1508,5.2607,4.8274,5.015,0.025800000000000267,0.5145,313559863.0,4901655074.0
101,000001.SZ,20120131,5.3803,5.0408,5.4773,4.8921,5.0408,0.33950000000000014,6.735,183921043.0,2972724632.0
100,000001.SZ,20120229,5.5291,5.3609,5.6519,5.2833,5.3803,0.1487999999999996,2.7656,469635848.0,7882999790.0
99,000001.SZ,20120330,5.0796,5.5226,5.7489,4.9988,5.5291,-0.44949999999999957,-8.1297,517177858.0,8620368514.0
98,000001.SZ,20120427,5.3545,5.0796,5.5355,4.9956,5.0796,0.2748999999999997,5.4118,352860003.0,5757452080.0
97,000001.SZ,20120531,5.0732,5.4062,5.4773,5.0182,5.3545,-0.2812999999999999,-5.2535,356909859.0,5745311296.0
96,000001.SZ,20120629,4.9018,5.0764,5.1346,4.6722,5.0732,-0.17140000000000022,-3.3785,397486374.0,5981067330.0
95,000001.SZ,20120731,4.8824,4.9244,5.0053,4.724,4.9018,-0.019400000000000084,-0.3958,273371202.0,4087039824.0
94,000001.SZ,20120831,4.5882,4.8759,4.9471,4.5364,4.8824,-0.2942,-6.0257,288508621.0,4270748456.0
93,000001.SZ,20120928,4.2454,4.5979,4.6561,4.0708,4.5882,-0.34279999999999955,-7.4713,302419430.0,4099573280.0
92,000001.SZ,20121031,4.2868,4.2803,4.4171,4.1923,4.277,0.009800000000000253,0.2291,214870357.0,2843903872.0
91,000001.SZ,20121130,4.1695,4.2868,4.4659,4.1369,4.2868,-0.11730000000000018,-2.7363,229281209.0,3039954724.0
90,000001.SZ,20121231,5.2184,4.1728,5.2672,4.0653,4.1695,1.0488999999999997,25.1565,700135019.0,10264223506.0
89,000001.SZ,20130131,6.8732,5.3161,7.0197,5.0327,5.2184,1.6547999999999998,31.7109,1300848140.0,24419356850.0
88,000001.SZ,20130228,7.4921,6.8471,7.4921,6.1728,6.8732,0.6189,9.0045,978537264.0,20610947390.0
87,000001.SZ,20130329,6.5539,7.4693,8.0491,6.3976,7.4921,-0.9382000000000001,-12.5225,1688993704.0,37767252660.0
86,000001.SZ,20130426,6.0914,6.58,6.808,5.8796,6.5539,-0.46249999999999947,-7.0569,1074759752.0,20792674934.0
85,000001.SZ,20130531,6.8373,6.0588,7.0686,5.9937,6.0914,0.7458999999999998,12.2451,1123405574.0,22955358976.0
