ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399997.SZ,20090105,1028.638,1016.335,1028.638,1010.868,,,,554959.34,751151.224
399997.SZ,20150615,0,3588.6642,3739.5465,3583.0929,3585.181,17.8249,0.4972,3427433.47,13806503.11
399997.SZ,20150616,3486.089,3560.721,3602.92,3436.947,3603.0059,-116.9169,-3.245,2548420.62,9773910.067
399997.SZ,20150617,3547.724,3463.741,3551.985,3365.58,3486.089,61.635,1.768,2114569.84,7887115.916
399997.SZ,20150618,3403.661,3514.542,3571.394,3398.919,3547.724,-144.063,-4.0607,2228563.15,8466055.344
399997.SZ,20150619,3170.212,3322.203,3395.68,3164.654,3403.661,-233.449,-6.8588,1977134.32,7198454.098
399997.SZ,20150623,3377.373,3193.721,3381.154,3108.695,3170.212,207.161,6.5346,2450289.78,8852100.709
399997.SZ,20150624,3596.595,3403.962,3602.317,3388.592,3377.373,219.222,6.4909,3481763.8,13220431.93
399997.SZ,20150625,3513.959,3622.075,3652.548,3445.277,3596.595,-82.636,-2.2976,3239762.46,11998773.51
399997.SZ,20150626,3285.213,3410.12,3526.015,3200.101,3513.959,-228.746,-6.5096,3640119.09,13203014.26
399997.SZ,20150629,3377.036,3379.147,3484.65,3151.717,3285.213,91.823,2.795,4458293.97,17637117.85
399997.SZ,20150630,3470.417,3314.873,3492.422,3186.271,3377.036,93.381,2.7652,3990064.67,15036639.16
399997.SZ,20150701,3339.275,3393.902,3593.624,3326.321,3470.417,-131.142,-3.7789,3656263.68,13948166.26
399997.SZ,20150702,3107.637,3308.623,3308.623,3070.981,3339.275,-231.638,-6.9368,3267122.92,12040615.1
399997.SZ,20150703,2900.693,2967.74,3133.634,2866.01,3107.637,-206.944,-6.6592,2890242.18,10099219.22
399997.SZ,20150706,2861.163,3121.907,3121.907,2736.679,2900.693,-39.53,-1.3628,3681028.22,15608785.4
399997.SZ,20150707,2713.374,2768.744,2787.864,2663.871,2861.163,-147.789,-5.1653,3055209.23,11582611.3
399997.SZ,20150708,2572.337,2491.542,2612.384,2473.871,2713.374,-141.037,-5.1978,4140194.96,15559934
399997.SZ,20150709,2792.727,2541.898,2797.355,2533.862,2572.337,220.39,8.5677,2821960.91,9387351.777
399997.SZ,20150710,2999.194,2867.463,3036.351,2853.624,2792.727,206.467,7.393,3166691.44,14730569.95
399997.SZ,20150713,3128.276,3010.353,3175.708,2962.767,2999.194,129.082,4.3039,3698844.54,13447540.79
399997.SZ,20150714,2984.626,3063.623,3158.227,2960.938,3128.276,-143.65,-4.592,2982181.26,9928494.884
399997.SZ,20150715,2828.251,2922.118,2960.014,2787.952,2984.626,-156.375,-5.2393,2146216.6,7462465.623
399997.SZ,20150716,2883.132,2819.696,2938.986,2769.359,2828.251,54.881,1.9405,1707547.6,5825271.786
399997.SZ,20150717,2989.8,2892.737,3022.144,2889.693,2883.132,106.668,3.6997,1604751.35,5234588.811
399997.SZ,20150720,2945.214,2979.802,3029.715,2926.633,2989.8,-44.586,-1.4913,1777600.11,6008421.276
399997.SZ,20150721,2970.62,2922.128,2985.088,2890.151,2945.214,25.406,0.8626,1398394.22,4562299.499
399997.SZ,20150722,2968.49,2968.262,3027.361,2929.585,2970.62,-2.13,-0.0717,1851962.55,6153261.432
399997.SZ,20150723,3037.808,2975.706,3037.886,2948.496,2968.49,69.318,2.3351,1876742.84,6060794.881
399997.SZ,20150724,2998.985,3039.144,3108.813,2987.777,3037.808,-38.823,-1.278,2276461.81,7137641.925
399997.SZ,20150727,2732.96,2943.215,2987.829,2732.632,2998.985,-266.025,-8.8705,2051627.41,6601872.819
399997.SZ,20150728,2762.778,2652.018,2801.241,2622.677,2732.96,29.818,1.0911,2162100.68,6707063.359
399997.SZ,20150729,2837.286,2770.877,2838.696,2739.369,2762.778,74.508,2.6969,1039608.56,3726105.079
399997.SZ,20150730,2794.222,2835.425,2882.971,2789.774,2837.286,-43.064,-1.5178,1034035.22,3222923.964
399997.SZ,20150731,2831.623,2770.104,2843.288,2770.104,2794.222,37.401,1.3385,929424.49,3099972.573
399997.SZ,20150803,2856.691,2807.612,2857.057,2791.745,2831.623,25.068,0.8853,1014729.96,3485471.222
399997.SZ,20150804,2933.702,2846.257,2941.239,2846.257,2856.691,77.011,2.6958,1020193.78,3780182.658
399997.SZ,20150805,2864.821,2923.481,2925.774,2855.219,2933.702,-68.881,-2.3479,777885.52,2750274.389
399997.SZ,20150806,2832.603,2830.706,2867.013,2823.037,2864.821,-32.218,-1.1246,516515.15,2026336.254
399997.SZ,20150807,2877.826,2847.982,2894.311,2845.836,2832.603,45.223,1.5965,658230.46,2315186.748
399997.SZ,20150810,2969.255,2890.313,2984.809,2890.313,2877.826,91.429,3.177,1040948.98,3585388.603
399997.SZ,20150811,2966.994,2965.132,2991.807,2953.488,2969.255,-2.261,-0.0761,1015129.09,3462910.145
399997.SZ,20150812,2935.107,2944.016,2992.252,2933.765,2966.994,-31.887,-1.0747,693565.52,2677725.988
399997.SZ,20150813,2948.656,2940.768,2958.685,2887.638,2935.107,13.549,0.4616,709936.66,2381178.325
399997.SZ,20150814,2962.226,2967.344,2998.856,2951.046,2948.656,13.57,0.4602,961155.07,3062770.409
399997.SZ,20150817,2968.835,2946.05,2977.774,2918.977,2962.226,6.609,0.2231,875236.54,2977871.963
399997.SZ,20150818,2804.973,2975.312,2979.272,2800.26,2968.835,-163.862,-5.5194,1130272.16,3526388.906
399997.SZ,20150819,2861.012,2776.121,2870.071,2753.341,2804.973,56.039,1.9978,929354.46,2984263.768
399997.SZ,20150820,2779.058,2841.749,2864.365,2776.833,2861.012,-81.954,-2.8645,1058124.36,3183477.391
399997.SZ,20150821,2616.029,2715.605,2729.909,2609.918,2779.058,-163.029,-5.8663,998605.63,3492578.939
399997.SZ,20150824,2404.051,2525.809,2532.531,2401.491,2616.029,-211.978,-8.103,846339.73,3253713.3
399997.SZ,20150825,2314.715,2273.998,2439.696,2273.125,2404.051,-89.336,-3.7161,1202492.6,4315085.887
399997.SZ,20150826,2338.201,2317.484,2413.656,2283.355,2314.715,23.486,1.0146,1309099.72,3986469.76
399997.SZ,20150827,2441.316,2368.235,2441.822,2337.968,2338.201,103.115,4.41,1264812.04,3815130.69
399997.SZ,20150828,2507.35,2448.851,2522.778,2414.518,2441.316,66.034,2.7049,1305517.39,4131075.681
399997.SZ,20150831,2467.225,2473.361,2480.807,2414.429,2507.35,-40.125,-1.6003,980507.85,3010681.478
399997.SZ,20150901,2420.904,2437.048,2437.048,2345.652,2467.225,-46.321,-1.8775,1077153.13,3682697.855
399997.SZ,20150902,2436.028,2349.462,2440.338,2347.722,2420.904,15.124,0.6247,1175041.32,4313215.12
399997.SZ,20150907,2377.236,2423.388,2478.325,2362.536,2436.028,-58.792,-2.4134,824074.81,2279745.374
399997.SZ,20150908,2433.937,2366.476,2436.218,2333.04,2377.236,56.701,2.3852,665756.89,1782728.15
399997.SZ,20150909,2495.591,2433.63,2507.033,2433.331,2433.937,61.654,2.5331,1070201.55,2581577.225
399997.SZ,20150910,2467.194,2464.117,2497.976,2458.257,2495.591,-28.397,-1.1379,824423.53,1938437.915
399997.SZ,20150911,2461.547,2453.733,2482.691,2439.182,2467.194,-5.647,-0.2289,503712.88,1210508.683
399997.SZ,20150914,2383.249,2457.575,2472.235,2356.832,2461.547,-78.298,-3.1808,867452.78,3118612.758
399997.SZ,20150915,2340.04,2350.605,2396.375,2320.553,2383.249,-43.209,-1.813,658950.86,2042998.883
399997.SZ,20150916,2448.732,2335.017,2475.096,2334.301,2340.04,108.692,4.6449,656318.54,1861014.45
399997.SZ,20150917,2386.279,2426.078,2453.117,2385.874,2448.732,-62.453,-2.5504,713212.42,1743146.723
399997.SZ,20150918,2390.545,2399.682,2411.291,2373.132,2386.279,4.266,0.1788,435955.78,1078315.528
399997.SZ,20150921,2438.686,2369.4,2442.777,2363.642,2390.545,48.141,2.0138,611065.82,1328822.474
399997.SZ,20150922,2461.408,2443.977,2472.309,2433.564,2438.686,22.722,0.9317,692578.3,1580738.534
399997.SZ,20150923,2403.241,2425.504,2438.801,2396.074,2461.408,-58.167,-2.3632,544528.68,1356032.539
399997.SZ,20150924,2428.942,2413.459,2433.311,2406.898,2403.241,25.701,1.0694,438685.98,1025161.515
399997.SZ,20150925,2400.978,2431.061,2447.683,2384.928,2428.942,-27.964,-1.1513,512462.56,1319763.312
399997.SZ,20150928,2399.336,2393.075,2399.636,2364.29,2400.978,-1.642,-0.0684,328636.45,771990.667
399997.SZ,20150929,2389.479,2370.911,2425.869,2365.85,2399.336,-9.857,-0.4108,428814.51,1104957.318
