date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2000-01-04,sh.600000,24.9800000000,25.7800000000,24.7500000000,25.5700000000,24.7500000000,4496068,113946783.0000,1,1.405021,1,3.313130,0
2000-01-05,sh.600000,25.5700000000,25.9800000000,25.1500000000,25.2800000000,25.5700000000,5252814,134465427.0000,1,1.641504,1,-1.134138,0
2000-01-06,sh.600000,25.1800000000,26.3000000000,25.0500000000,25.9900000000,25.2800000000,6229651,160059798.0000,1,1.946766,1,2.808541,0
2000-01-07,sh.600000,26.3000000000,27.5000000000,26.1200000000,26.9000000000,25.9900000000,21355330,575751082.0000,1,6.673541,1,3.501346,0
2000-01-10,sh.600000,27.0000000000,27.8500000000,26.7100000000,27.2500000000,26.9000000000,16539731,450453518.0000,1,5.168666,1,1.301117,0
2000-01-11,sh.600000,27.2500000000,27.3000000000,26.1200000000,26.2000000000,27.2500000000,9390776,251055911.0000,1,2.934617,1,-3.853208,0
2000-01-12,sh.600000,26.0000000000,26.0000000000,24.8000000000,25.1200000000,26.2000000000,35274913,889867340.0000,1,8.818728,1,-4.122137,0
2000-01-13,sh.600000,25.0000000000,25.2500000000,24.8000000000,24.9000000000,25.1200000000,7975643,199244304.0000,1,1.993911,1,-0.875801,0
2000-01-14,sh.600000,24.8800000000,25.0000000000,23.9100000000,24.2000000000,24.9000000000,17861876,434206087.0000,1,4.465469,1,-2.811240,0
2000-01-17,sh.600000,24.0800000000,24.4400000000,23.7500000000,24.4000000000,24.2000000000,8101523,194776964.0000,1,2.025381,1,0.826442,0
2000-01-18,sh.600000,24.5000000000,24.5700000000,23.8800000000,24.1400000000,24.4000000000,7693316,185091684.0000,1,1.923329,1,-1.065575,0
2000-01-19,sh.600000,24.1400000000,24.2900000000,23.9800000000,24.1300000000,24.1400000000,4658411,112325238.0000,1,1.164603,1,-0.041426,0
2000-01-20,sh.600000,24.1200000000,24.6500000000,24.1000000000,24.4400000000,24.1300000000,5114418,124668176.0000,1,1.278604,1,1.284714,0
2000-01-21,sh.600000,24.5100000000,24.6300000000,24.0800000000,24.2700000000,24.4400000000,8138669,197523215.0000,1,2.034667,1,-0.695581,0
2000-01-24,sh.600000,24.2000000000,24.2500000000,23.9500000000,24.1800000000,24.2700000000,9250250,222404435.0000,1,2.312562,1,-0.370829,0
2000-01-25,sh.600000,24.1800000000,25.1600000000,24.1800000000,24.5900000000,24.1800000000,7742275,191183031.0000,1,1.935569,1,1.695616,0
2000-01-26,sh.600000,24.6000000000,24.8000000000,24.3100000000,24.4100000000,24.5900000000,2737753,67037918.0000,1,0.684438,1,-0.732006,0
2000-01-27,sh.600000,24.4700000000,24.7800000000,24.2000000000,24.5900000000,24.4100000000,6335055,154926927.0000,1,1.583764,1,0.737404,0
2000-01-28,sh.600000,24.6000000000,25.1000000000,24.5600000000,25.0400000000,24.5900000000,12362712,307633593.0000,1,3.090678,1,1.830015,0
2000-02-14,sh.600000,26.0000000000,27.4800000000,25.5000000000,27.2000000000,25.0400000000,23739132,628039204.0000,1,5.934783,1,8.626197,0
2000-02-15,sh.600000,27.2000000000,27.4800000000,25.6500000000,25.6800000000,27.2000000000,26267678,693158484.0000,1,6.566920,1,-5.588237,0
2000-02-16,sh.600000,25.5000000000,25.5500000000,24.9100000000,25.2000000000,25.6800000000,19069058,478863316.0000,1,4.767264,1,-1.869157,0
2000-02-17,sh.600000,25.2500000000,26.4000000000,24.2300000000,24.9000000000,25.2000000000,23044792,579973766.0000,1,5.761198,1,-1.190481,0
2000-02-18,sh.600000,24.9000000000,25.0000000000,24.3000000000,24.6800000000,24.9000000000,9693463,237689141.0000,1,2.423366,1,-0.883531,0
2000-02-21,sh.600000,24.7500000000,26.3000000000,24.2000000000,25.8000000000,24.6800000000,25510575,650679608.0000,1,6.377644,1,4.538083,0
2000-02-22,sh.600000,25.8800000000,26.0000000000,24.6000000000,24.7500000000,25.8000000000,10517512,264067019.0000,1,2.629378,1,-4.069765,0
2000-02-23,sh.600000,24.6000000000,25.2500000000,24.5000000000,24.6000000000,24.7500000000,6914567,171007817.0000,1,1.728642,1,-0.606059,0
2000-02-24,sh.600000,24.6000000000,25.0000000000,24.5000000000,24.8200000000,24.6000000000,4648117,114760607.0000,1,1.162029,1,0.894306,0
2000-02-25,sh.600000,24.9000000000,24.9700000000,24.5000000000,24.6000000000,24.8200000000,5814812,143173184.0000,1,1.453703,1,-0.886379,0
2000-02-28,sh.600000,24.6000000000,25.2500000000,24.3500000000,25.0800000000,24.6000000000,9373418,231796184.0000,1,2.343355,1,1.951218,0
2000-02-29,sh.600000,25.2100000000,25.6000000000,24.8000000000,25.1700000000,25.0800000000,10955908,275768296.0000,1,2.738977,1,0.358852,0
2000-03-01,sh.600000,25.2000000000,27.1000000000,25.1700000000,25.8200000000,25.1700000000,41705102,1096015251.0000,1,10.426275,1,2.582438,0
2000-03-02,sh.600000,25.7800000000,26.0000000000,25.1000000000,25.4200000000,25.8200000000,12999893,330633290.0000,1,3.249973,1,-1.549185,0
2000-03-03,sh.600000,25.6000000000,26.7000000000,25.5800000000,26.0000000000,25.4200000000,16109828,420418261.0000,1,4.027457,1,2.281668,0
2000-03-06,sh.600000,26.4800000000,26.9000000000,25.5500000000,25.6000000000,26.0000000000,20616164,542130542.0000,1,5.154041,1,-1.538460,0
2000-03-07,sh.600000,25.2000000000,26.3000000000,25.0100000000,25.8000000000,25.6000000000,11132997,284899208.0000,1,2.783249,1,0.781246,0
2000-03-08,sh.600000,26.0000000000,26.1800000000,25.4300000000,25.6900000000,25.8000000000,5771422,148007818.0000,1,1.442855,1,-0.426351,0
2000-03-09,sh.600000,25.7000000000,27.4900000000,25.3800000000,26.4000000000,25.6900000000,26490973,704219251.0000,1,6.622743,1,2.763718,0
2000-03-10,sh.600000,26.4000000000,26.5000000000,25.5100000000,25.6200000000,26.4000000000,10570004,273452598.0000,1,2.642501,1,-2.954541,0
2000-03-13,sh.600000,25.6000000000,25.9800000000,25.3600000000,25.5300000000,25.6200000000,5566374,142355325.0000,1,1.391594,1,-0.351289,0
2000-03-14,sh.600000,25.0000000000,25.4200000000,24.8000000000,25.4200000000,25.5300000000,11375155,285003725.0000,1,2.843789,1,-0.430868,0
2000-03-15,sh.600000,25.4000000000,25.4200000000,25.0000000000,25.1400000000,25.4200000000,4219978,106073477.0000,1,1.054995,1,-1.101498,0
2000-03-16,sh.600000,25.0000000000,25.0800000000,24.2800000000,24.5000000000,25.1400000000,7570241,187216559.0000,1,1.892560,1,-2.545741,0
2000-03-17,sh.600000,24.5000000000,25.2000000000,24.4000000000,24.8600000000,24.5000000000,4270447,106042791.0000,1,1.067612,1,1.469390,0
2000-03-20,sh.600000,24.5000000000,25.2000000000,24.5000000000,25.0200000000,24.8600000000,4387604,109489001.0000,1,1.096901,1,0.643604,0
2000-03-21,sh.600000,25.1800000000,25.2000000000,24.8200000000,25.0000000000,25.0200000000,4409904,110102522.0000,1,1.102476,1,-0.079938,0
2000-03-22,sh.600000,25.0800000000,25.7100000000,24.8800000000,25.3400000000,25.0000000000,4522034,114100496.0000,1,1.130508,1,1.360001,0
2000-03-23,sh.600000,25.3500000000,25.6800000000,25.2000000000,25.5100000000,25.3400000000,5887205,149693415.0000,1,1.471801,1,0.670876,0
2000-03-24,sh.600000,26.0100000000,27.0500000000,25.5100000000,25.5100000000,25.5100000000,21856415,575302201.0000,1,5.464104,1,0.000000,0
2000-03-27,sh.600000,25.7100000000,26.2600000000,25.4000000000,25.9000000000,25.5100000000,6161135,158738686.0000,1,1.540284,1,1.528810,0
2000-03-28,sh.600000,26.0300000000,26.3000000000,25.2500000000,25.5000000000,25.9000000000,7074201,180806578.0000,1,1.768550,1,-1.544400,0
2000-03-29,sh.600000,25.5500000000,25.7000000000,25.0600000000,25.1800000000,25.5000000000,7495200,189202622.0000,1,1.873800,1,-1.254901,0
2000-03-30,sh.600000,25.2500000000,25.7200000000,25.2500000000,25.3800000000,25.1800000000,4400762,111744655.0000,1,1.100190,1,0.794277,0
2000-03-31,sh.600000,25.4500000000,25.5800000000,25.1000000000,25.2200000000,25.3800000000,4320394,109090852.0000,1,1.080099,1,-0.630417,0
2000-04-03,sh.600000,25.2000000000,25.5000000000,25.1000000000,25.2400000000,25.2200000000,3498400,88393318.0000,1,0.874600,1,0.079304,0
2000-04-04,sh.600000,25.2000000000,25.2000000000,24.8600000000,24.9000000000,25.2400000000,4307082,107536323.0000,1,1.076771,1,-1.347069,0
2000-04-05,sh.600000,24.9000000000,25.4900000000,24.8800000000,25.1500000000,24.9000000000,3427019,85948606.0000,1,0.856755,1,1.004016,0
2000-04-06,sh.600000,25.1500000000,25.3900000000,25.0600000000,25.3100000000,25.1500000000,2927597,73823696.0000,1,0.731899,1,0.636182,0
2000-04-07,sh.600000,25.4200000000,25.9000000000,25.3800000000,25.6900000000,25.3100000000,6006321,154300910.0000,1,1.501580,1,1.501387,0
2000-04-10,sh.600000,25.7200000000,25.9000000000,25.4300000000,25.5400000000,25.6900000000,3327829,85045430.0000,1,0.831957,1,-0.583883,0
2000-04-11,sh.600000,25.6000000000,26.0800000000,25.4000000000,25.5600000000,25.5400000000,6213920,159922397.0000,1,1.553480,1,0.078303,0
2000-04-12,sh.600000,25.6200000000,26.0000000000,25.3500000000,25.4500000000,25.5600000000,4634405,119159205.0000,1,1.158601,1,-0.430355,0
2000-04-13,sh.600000,25.4500000000,25.8800000000,25.4000000000,25.6000000000,25.4500000000,4206547,107735819.0000,1,1.051637,1,0.589389,0
2000-04-14,sh.600000,25.6800000000,26.2000000000,25.6000000000,25.8300000000,25.6000000000,11250459,291591767.0000,1,2.812615,1,0.898436,0
2000-04-17,sh.600000,26.0000000000,26.2000000000,25.1800000000,25.3000000000,25.8300000000,7976887,204556962.0000,1,1.994222,1,-2.051880,0
2000-04-18,sh.600000,25.3100000000,25.4500000000,25.0100000000,25.3200000000,25.3000000000,3894519,98184097.0000,1,0.973630,1,0.079053,0
2000-04-19,sh.600000,25.4500000000,25.7800000000,25.1900000000,25.3000000000,25.3200000000,2755574,69942881.0000,1,0.688893,1,-0.078991,0
2000-04-20,sh.600000,25.3000000000,25.5000000000,25.1900000000,25.3200000000,25.3000000000,3636678,91864727.0000,1,0.909170,1,0.079053,0
2000-04-21,sh.600000,25.0000000000,25.4900000000,25.0000000000,25.1500000000,25.3200000000,3965515,99685689.0000,1,0.991379,1,-0.671406,0
2000-04-24,sh.600000,25.1500000000,25.2000000000,24.7500000000,24.8200000000,25.1500000000,5913794,147290986.0000,1,1.478449,1,-1.312127,0
2000-04-25,sh.600000,24.8100000000,25.0900000000,24.7800000000,24.8400000000,24.8200000000,2309521,57489169.0000,1,0.577380,1,0.080582,0
2000-04-26,sh.600000,24.8800000000,25.5700000000,24.8000000000,25.0000000000,24.8400000000,3559390,89234644.0000,1,0.889847,1,0.644122,0
2000-04-27,sh.600000,25.0000000000,25.2000000000,24.6800000000,24.7400000000,25.0000000000,3284172,81550296.0000,1,0.821043,1,-1.040001,0
2000-04-28,sh.600000,24.7400000000,25.0000000000,24.6500000000,25.0000000000,24.7400000000,3210849,79526614.0000,1,0.802712,1,1.050931,0
2000-05-08,sh.600000,25.0000000000,25.0000000000,25.0000000000,25.0000000000,25.0000000000,0,0.0000,1,,0,0.000000,0
2000-05-09,sh.600000,24.9000000000,24.9000000000,24.3500000000,24.4300000000,25.0000000000,2606070,63808332.0000,1,0.651517,1,-2.279999,0
2000-05-10,sh.600000,24.4000000000,24.5100000000,23.9800000000,24.0000000000,24.4300000000,5873823,141397664.0000,1,1.468456,1,-1.760132,0
2000-05-11,sh.600000,24.0000000000,24.2700000000,23.8000000000,23.9000000000,24.0000000000,3388286,81370247.0000,1,0.847071,1,-0.416668,0
2000-05-12,sh.600000,23.9300000000,24.1000000000,23.8500000000,23.9400000000,23.9000000000,2969271,71131310.0000,1,0.742318,1,0.167368,0
2000-05-15,sh.600000,23.9500000000,24.0000000000,23.0100000000,23.0600000000,23.9400000000,4078342,94939549.0000,1,1.019586,1,-3.675861,0
2000-05-16,sh.600000,23.0700000000,23.4500000000,23.0600000000,23.2000000000,23.0600000000,2071322,48081624.0000,1,0.517830,1,0.607117,0
2000-05-17,sh.600000,23.2500000000,23.3500000000,23.0600000000,23.1500000000,23.2000000000,2133628,49378357.0000,1,0.533407,1,-0.215522,0
2000-05-18,sh.600000,23.1500000000,23.3000000000,23.0000000000,23.2500000000,23.1500000000,2946688,68124880.0000,1,0.736672,1,0.431967,0
2000-05-19,sh.600000,23.3000000000,23.6900000000,23.2500000000,23.5000000000,23.2500000000,2792052,65444252.0000,1,0.698013,1,1.075269,0
2000-05-22,sh.600000,23.5000000000,23.8800000000,23.3000000000,23.6900000000,23.5000000000,3608195,84995622.0000,1,0.902049,1,0.808513,0
2000-05-23,sh.600000,23.8500000000,23.9600000000,23.3000000000,23.4700000000,23.6900000000,2887979,67951037.0000,1,0.721995,1,-0.928667,0
2000-05-24,sh.600000,23.5000000000,23.8000000000,23.3000000000,23.6300000000,23.4700000000,3456480,81374021.0000,1,0.864120,1,0.681721,0
2000-05-25,sh.600000,23.7000000000,24.5000000000,23.6500000000,24.2900000000,23.6300000000,7604321,183401585.0000,1,1.901080,1,2.793067,0
2000-05-26,sh.600000,24.3300000000,24.4500000000,23.8500000000,23.9000000000,24.2900000000,3614987,86693231.0000,1,0.903747,1,-1.605604,0
2000-05-29,sh.600000,23.9000000000,23.9800000000,23.6000000000,23.7400000000,23.9000000000,3147735,74592064.0000,1,0.786934,1,-0.669455,0
2000-05-30,sh.600000,23.7400000000,23.9500000000,23.3500000000,23.4000000000,23.7400000000,2970693,70035539.0000,1,0.742673,1,-1.432183,0
2000-05-31,sh.600000,23.4000000000,23.8800000000,23.3000000000,23.4500000000,23.4000000000,3597344,84459834.0000,1,0.899336,1,0.213680,0
2000-06-01,sh.600000,23.5000000000,23.6800000000,23.3600000000,23.4400000000,23.4500000000,2270325,53251012.0000,1,0.567581,1,-0.042645,0
2000-06-02,sh.600000,23.5000000000,23.9700000000,23.4000000000,23.7000000000,23.4400000000,3047212,72152781.0000,1,0.761803,1,1.109216,0
2000-06-05,sh.600000,23.8000000000,23.9700000000,23.5900000000,23.6500000000,23.7000000000,3602826,85402416.0000,1,0.900706,1,-0.210975,0
2000-06-06,sh.600000,23.6600000000,23.9800000000,23.6500000000,23.8400000000,23.6500000000,2626991,62564701.0000,1,0.656748,1,0.803385,0
2000-06-07,sh.600000,23.9000000000,24.1800000000,23.7200000000,23.9200000000,23.8400000000,3507674,83916776.0000,1,0.876919,1,0.335570,0
2000-06-08,sh.600000,23.9900000000,24.3400000000,23.8100000000,23.9100000000,23.9200000000,4210126,101488513.0000,1,1.052531,1,-0.041807,0
2000-06-09,sh.600000,24.0000000000,24.2500000000,23.5100000000,23.5500000000,23.9100000000,2450894,58230845.0000,1,0.612723,1,-1.505649,0
2000-06-12,sh.600000,23.5000000000,23.7200000000,23.3900000000,23.6200000000,23.5500000000,1957284,45933934.0000,1,0.489321,1,0.297247,0
2000-06-13,sh.600000,23.6800000000,24.0000000000,23.6600000000,23.8400000000,23.6200000000,1787546,42589850.0000,1,0.446886,1,0.931411,0
2000-06-14,sh.600000,24.0000000000,24.6900000000,23.9500000000,24.1800000000,23.8400000000,9515624,232075370.0000,1,2.378906,1,1.426175,0
2000-06-15,sh.600000,24.3000000000,24.5500000000,24.1500000000,24.3600000000,24.1800000000,3013908,73399141.0000,1,0.753477,1,0.744418,0
2000-06-16,sh.600000,24.4500000000,24.5000000000,23.8800000000,23.9700000000,24.3600000000,2561170,61776775.0000,1,0.640293,1,-1.600990,0
2000-06-19,sh.600000,24.0000000000,24.1500000000,23.6800000000,23.8000000000,23.9700000000,1830811,43529667.0000,1,0.457703,1,-0.709220,0
2000-06-20,sh.600000,23.8000000000,23.8300000000,23.6100000000,23.6500000000,23.8000000000,1388343,32869450.0000,1,0.347086,1,-0.630251,0
2000-06-21,sh.600000,23.6000000000,23.7500000000,23.5000000000,23.7000000000,23.6500000000,1567963,36978461.0000,1,0.391991,1,0.211421,0
2000-06-22,sh.600000,23.7500000000,23.8000000000,23.5100000000,23.5400000000,23.7000000000,1781752,42017241.0000,1,0.445438,1,-0.675105,0
2000-06-23,sh.600000,23.5400000000,23.6700000000,23.4000000000,23.5600000000,23.5400000000,2454181,57647819.0000,1,0.613545,1,0.084956,0
2000-06-26,sh.600000,23.5700000000,23.6900000000,23.4700000000,23.5700000000,23.5600000000,2413807,56816674.0000,1,0.603452,1,0.042446,0
2000-06-27,sh.600000,23.6000000000,23.6700000000,23.3800000000,23.4200000000,23.5700000000,2771123,64999890.0000,1,0.692781,1,-0.636401,0
