,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
1024,600000.SH,20000107,2.1159,1.9649,2.1631,1.9468,1.9468,0.1690999999999998,8.686,37333863.0,984223100.0
1023,600000.SH,20000114,1.9036,2.1238,2.1907,1.8808,2.1159,-0.21229999999999993,-10.0336,87042938.0,2224827122.0
1022,600000.SH,20000121,1.9091,1.8941,1.939,1.8682,1.9036,0.00550000000000006,0.2889,33706337.0,814385272.0
1021,600000.SH,20000128,1.9696,1.9036,1.9791,1.8839,1.9091,0.0605,3.169,38230709.0,938337440.0
1020,600000.SH,20000218,1.9413,2.0452,2.1616,1.9059,1.9696,-0.028299999999999992,-1.4368,101814123.0,2617723914.0
1019,600000.SH,20000225,1.935,1.9468,2.0687,1.9036,1.9413,-0.006299999999999972,-0.3245,53405584.0,1343688260.0
1018,600000.SH,20000303,2.0452,1.935,2.1317,1.9154,1.935,0.11019999999999985,5.6951,91144133.0,2354631262.0
1017,600000.SH,20000310,2.0153,2.0829,2.1624,1.9673,2.0452,-0.029900000000000038,-1.462,74581559.0,1952709452.0
1016,600000.SH,20000317,1.9555,2.0137,2.0436,1.9099,2.0153,-0.05979999999999985,-2.9673,33002195.0,826691872.0
1015,600000.SH,20000324,2.0066,1.9272,2.1277,1.9272,1.9555,0.051100000000000145,2.6131,41063163.0,1058687634.0
1014,600000.SH,20000331,1.9838,2.0223,2.0687,1.9712,2.0066,-0.022800000000000153,-1.1363,29451692.0,749583392.0
1013,600000.SH,20000407,2.0208,1.9822,2.0373,1.9555,1.9838,0.03699999999999992,1.8651,20166419.0,510002856.0
1012,600000.SH,20000414,2.0318,2.0231,2.0609,1.994,2.0208,0.01100000000000012,0.5443,29633160.0,763454632.0
1011,600000.SH,20000421,1.9783,2.0452,2.0609,1.9665,2.0318,-0.0535000000000001,-2.6331,22229173.0,564234352.0
1010,600000.SH,20000428,1.9665,1.9783,2.0113,1.939,1.9783,-0.011800000000000033,-0.5965,18277726.0,455091712.0
