,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
112,000509.SZ,20100129,2.7461,2.7118,3.0548,2.529,2.7061,0.040000000000000036,1.4781,74873404.0,735600342.0
111,000509.SZ,20100226,3.2491,2.7147,3.2634,2.6804,2.7461,0.5029999999999997,18.3169,58442320.0,611696192.0
110,000509.SZ,20100331,3.412,3.2576,3.532,3.0919,3.2491,0.16290000000000004,5.0137,88443986.0,1028540050.0
109,000509.SZ,20100430,3.0748,3.4177,4.1406,3.0147,3.412,-0.3371999999999997,-9.8828,110607209.0,1430185511.0
108,000509.SZ,20100531,2.6318,3.0748,3.2234,2.3918,3.0748,-0.44300000000000006,-14.4074,136909654.0,1309329750.0
107,000509.SZ,20100630,2.1918,2.5975,2.6433,2.1918,2.6318,-0.43999999999999995,-16.7186,57472849.0,489507590.0
106,000509.SZ,20100730,2.4461,2.1375,2.4975,2.0375,2.1918,0.25429999999999975,11.6023,58995485.0,464803345.0
105,000509.SZ,20100831,2.5118,2.4604,2.6461,2.3718,2.4461,0.06570000000000009,2.6859,73177938.0,639730722.0
104,000509.SZ,20100930,2.9862,2.5147,2.9862,2.3461,2.5118,0.47440000000000015,18.8869,106933077.0,988562618.0
103,000509.SZ,20101029,2.7376,3.0119,3.0805,2.5432,2.9862,-0.24860000000000015,-8.325,59052811.0,577499802.0
102,000509.SZ,20101130,3.1062,2.7461,3.672,2.7147,2.7376,0.3685999999999998,13.4643,121620103.0,1366951752.0
101,000509.SZ,20101231,3.089,3.1491,3.532,2.9862,3.1062,-0.017199999999999882,-0.5537,87787863.0,1005766420.0
100,000509.SZ,20110131,2.929,3.089,3.3548,2.6175,3.089,-0.16000000000000014,-5.1797,42164502.0,456542691.0
99,000509.SZ,20110228,3.0833,2.969,3.1262,2.869,2.929,0.1543000000000001,5.268,29711697.0,311801517.0
98,000509.SZ,20110331,3.0919,3.0633,3.2862,3.0005,3.0833,0.008599999999999941,0.2789,60596345.0,665241619.0
97,000509.SZ,20110429,3.0176,3.0948,3.4548,2.9433,3.0919,-0.07430000000000003,-2.4031,60079649.0,690118577.0
96,000509.SZ,20110531,2.8604,3.0205,3.4662,2.7719,3.0176,-0.1572,-5.2094,49220012.0,554291653.0
95,000509.SZ,20110630,3.5034,2.8633,3.5977,2.789,2.8604,0.6430000000000002,22.4794,75864482.0,879130764.0
94,000509.SZ,20110729,3.8234,3.5005,4.1263,3.392,3.5034,0.31999999999999984,9.134,94599934.0,1248844642.0
93,000509.SZ,20110831,4.0578,3.7949,4.1435,3.2691,3.8234,0.23440000000000039,6.1307,77507997.0,1016403380.0
92,000509.SZ,20110930,3.8234,4.0578,4.475,3.6406,4.0578,-0.23440000000000039,-5.7765,90992711.0,1313136730.0
91,000509.SZ,20111031,3.6406,3.8006,4.0578,3.3719,3.8234,-0.18279999999999985,-4.7811,44897461.0,589213286.0
90,000509.SZ,20111130,3.4034,3.6034,3.8434,3.3948,3.6406,-0.23720000000000008,-6.5154,46182259.0,590918539.0
89,000509.SZ,20111230,3.5063,3.472,3.552,3.4234,3.4034,0.10289999999999999,3.0234,2887323.0,35203868.0
88,000509.SZ,20120229,3.7149,3.3319,3.7863,3.1833,3.5063,0.20860000000000012,5.9493,114254555.0,1371725040.0
87,000509.SZ,20120330,2.9204,3.5405,4.0435,2.9204,3.7149,-0.7945000000000002,-21.3868,108507908.0,1366421950.0
86,000509.SZ,20120427,2.6204,2.8576,3.2034,2.5747,2.9204,-0.2999999999999998,-10.2726,42909677.0,437664607.0
85,000509.SZ,20120531,2.7118,2.489,2.8433,2.2461,2.6204,0.09140000000000015,3.488,85828812.0,758020420.0
84,000509.SZ,20120629,2.6604,2.6776,3.0233,2.4661,2.7118,-0.05140000000000011,-1.8954,42448062.0,410072812.0
83,000509.SZ,20120731,2.3089,2.6604,2.7719,2.3089,2.6604,-0.35150000000000015,-13.2123,29116073.0,266794236.0
82,000509.SZ,20120831,2.6661,2.1946,2.6861,2.1718,2.3089,0.3572000000000002,15.4706,44013434.0,372107438.0
81,000509.SZ,20120928,3.2919,2.6718,3.5548,2.6718,2.6661,0.6257999999999999,23.4725,62127709.0,687247056.0
80,000509.SZ,20121031,2.7633,3.2005,3.3148,2.6576,3.2919,-0.5286,-16.0576,36967956.0,380345350.0
79,000509.SZ,20121130,2.9319,2.7776,3.1405,2.6061,2.7633,0.16860000000000008,6.1014,49017721.0,504902347.0
78,000509.SZ,20121231,3.069,3.0776,3.1748,2.7176,2.9319,0.13709999999999978,4.6761,43755568.0,457379294.0
77,000509.SZ,20130131,2.769,3.1176,3.1176,2.6375,3.069,-0.2999999999999998,-9.7752,63436344.0,632660908.0
76,000509.SZ,20130228,2.9176,2.7776,2.9576,2.7661,2.769,0.14860000000000007,5.3666,31588260.0,316448573.0
75,000509.SZ,20130329,2.8061,2.9119,3.1719,2.7776,2.9176,-0.11150000000000038,-3.8216,67176712.0,699360672.0
74,000509.SZ,20130426,3.029,2.7719,3.1976,2.529,2.8061,0.2229000000000001,7.9434,38329222.0,378481223.0
