===============================================================================
Id,600000qfq,len,datetime,open,high,low,close,volume,openinterest,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,600000qfq,1,2019-03-01 23:59:59.999989,11.4542,11.6967,11.2505,11.6579,632546.21,,SmaCross,1,737119.9999999999,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,600000qfq,2,2019-03-04 23:59:59.999989,11.7549,12.007,11.59,11.6579,850247.77,,SmaCross,2,737122.9999999999,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,600000qfq,3,2019-03-05 23:59:59.999989,11.6482,11.6773,11.5124,11.6191,545642.02,,SmaCross,3,737123.9999999999,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,600000qfq,4,2019-03-06 23:59:59.999989,11.6288,11.784,11.5027,11.6579,536931.64,,SmaCross,4,737124.9999999999,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,600000qfq,5,2019-03-07 23:59:59.999989,11.6676,11.6773,11.5124,11.5221,526188.24,,SmaCross,5,737125.9999999999,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,600000qfq,6,2019-03-08 23:59:59.999989,11.3669,11.3669,11.0178,11.1535,526705.31,,SmaCross,6,737126.9999999999,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,600000qfq,7,2019-03-11 23:59:59.999989,11.0954,11.2408,11.0178,11.1244,399220.2,,SmaCross,7,737129.9999999999,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,600000qfq,8,2019-03-12 23:59:59.999989,11.2408,11.3378,11.0566,11.0954,522118.07,,SmaCross,8,737130.9999999999,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,600000qfq,9,2019-03-13 23:59:59.999989,11.0663,11.2117,10.9596,11.0954,413730.14,,SmaCross,9,737131.9999999999,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,600000qfq,10,2019-03-14 23:59:59.999989,11.1147,11.2311,11.0857,11.1147,343378.99,,SmaCross,10,737132.9999999999,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,600000qfq,11,2019-03-15 23:59:59.999989,11.1244,11.2505,11.0857,11.0857,337693.2,,SmaCross,11,737133.9999999999,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,600000qfq,12,2019-03-18 23:59:59.999989,11.105,11.2505,11.0275,11.2408,438795.62,,SmaCross,12,737136.9999999999,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,600000qfq,13,2019-03-19 23:59:59.999989,11.2796,11.3184,11.1632,11.202,275002.31,,SmaCross,13,737137.9999999999,Broker,13,8872.04,9992.240000000002,BuySell,13,10.995752,,Trades - Net Profit/Loss,13,,
14,600000qfq,14,2019-03-20 23:59:59.999989,11.1729,11.2893,11.1438,11.202,273254.24,,SmaCross,14,737138.9999999999,Broker,14,8872.04,9992.240000000002,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,600000qfq,15,2019-03-21 23:59:59.999989,11.2117,11.2408,11.0954,11.1147,350370.35,,SmaCross,15,737139.9999999999,Broker,15,8872.04,9983.51,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,600000qfq,16,2019-03-22 23:59:59.999989,11.1438,11.1632,10.9693,11.0469,354364.46,,SmaCross,16,737140.9999999999,Broker,16,9986.420000000002,9986.420000000002,BuySell,16,,11.330647999999998,Trades - Net Profit/Loss,16,,-13.57999999999997
17,600000qfq,17,2019-03-25 23:59:59.999989,10.9402,10.9499,10.6783,10.6977,577165.77,,SmaCross,17,737143.9999999999,Broker,17,9986.420000000002,9986.420000000002,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,600000qfq,18,2019-03-26 23:59:59.999989,10.7753,10.8044,10.6977,10.7559,307957.22,,SmaCross,18,737144.9999999999,Broker,18,9986.420000000002,9986.420000000002,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,600000qfq,19,2019-03-27 23:59:59.999989,10.7753,10.9014,10.7074,10.7462,421244.89,,SmaCross,19,737145.9999999999,Broker,19,9986.420000000002,9986.420000000002,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,600000qfq,20,2019-03-28 23:59:59.999989,10.6977,10.7171,10.5716,10.6977,292961.2,,SmaCross,20,737146.9999999999,Broker,20,9986.420000000002,9986.420000000002,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,600000qfq,21,2019-03-29 23:59:59.999989,10.6492,10.9596,10.6492,10.9402,605262.66,,SmaCross,21,737147.9999999999,Broker,21,9986.420000000002,9986.420000000002,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,600000qfq,22,2019-04-01 23:59:59.999989,11.0178,11.1729,10.9499,11.0954,706374.05,,SmaCross,22,737150.9999999999,Broker,22,8884.640000000001,9994.18,BuySell,22,10.7856515,,Trades - Net Profit/Loss,22,,
23,600000qfq,23,2019-04-02 23:59:59.999989,11.1535,11.1729,11.0663,11.0954,467147.1,,SmaCross,23,737151.9999999999,Broker,23,8884.640000000001,9994.18,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,600000qfq,24,2019-04-03 23:59:59.999989,11.0275,11.1923,10.9984,11.1535,502710.29,,SmaCross,24,737152.9999999999,Broker,24,8884.640000000001,9999.990000000002,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,600000qfq,25,2019-04-04 23:59:59.999989,11.202,11.3572,11.1923,11.3572,752325.27,,SmaCross,25,737153.9999999999,Broker,25,8884.640000000001,10020.36,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,600000qfq,26,2019-04-08 23:59:59.999989,11.4348,11.5997,11.299,11.3669,778703.73,,SmaCross,26,737157.9999999999,Broker,26,8884.640000000001,10021.330000000002,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,600000qfq,27,2019-04-09 23:59:59.999989,11.3669,11.396,11.1438,11.1923,568959.92,,SmaCross,27,737158.9999999999,Broker,27,8884.640000000001,10003.87,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,600000qfq,28,2019-04-10 23:59:59.999989,11.1535,11.2117,11.076,11.1341,410275.39,,SmaCross,28,737159.9999999999,Broker,28,9999.990000000002,9999.990000000002,BuySell,28,,11.379875499999999,Trades - Net Profit/Loss,28,13.569999999999993,
29,600000qfq,29,2019-04-11 23:59:59.999989,11.1244,11.2408,11.0081,11.1244,501727.94,,SmaCross,29,737160.9999999999,Broker,29,9999.990000000002,9999.990000000002,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,600000qfq,30,2019-04-12 23:59:59.999989,11.1244,11.2117,11.0857,11.1438,262736.9,,SmaCross,30,737161.9999999999,Broker,30,9999.990000000002,9999.990000000002,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,600000qfq,31,2019-04-15 23:59:59.999989,11.3184,11.4154,11.1147,11.1244,705091.67,,SmaCross,31,737164.9999999999,Broker,31,9999.990000000002,9999.990000000002,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,600000qfq,32,2019-04-16 23:59:59.999989,11.1147,11.6288,11.0857,11.59,1006654.0,,SmaCross,32,737165.9999999999,Broker,32,9999.990000000002,9999.990000000002,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,600000qfq,33,2019-04-17 23:59:59.999989,11.5997,11.7258,11.5221,11.5512,681572.11,,SmaCross,33,737166.9999999999,Broker,33,8840.020000000002,9995.140000000003,BuySell,33,11.349268499999999,,Trades - Net Profit/Loss,33,,
34,600000qfq,34,2019-04-18 23:59:59.999989,11.5512,11.687,11.4833,11.5512,430489.8,,SmaCross,34,737167.9999999999,Broker,34,8840.020000000002,9995.140000000003,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,600000qfq,35,2019-04-19 23:59:59.999989,11.6482,11.8325,11.5027,11.6482,560130.41,,SmaCross,35,737168.9999999999,Broker,35,8840.020000000002,10004.840000000002,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,600000qfq,36,2019-04-22 23:59:59.999989,11.6579,11.7064,11.3281,11.3572,533894.18,,SmaCross,36,737171.9999999999,Broker,36,8840.020000000002,9975.740000000002,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,600000qfq,37,2019-04-23 23:59:59.999989,11.3281,11.4445,11.2796,11.3475,338477.19,,SmaCross,37,737172.9999999999,Broker,37,9972.830000000002,9972.830000000002,BuySell,37,,11.616167499999998,Trades - Net Profit/Loss,37,,-27.160000000000117
38,600000qfq,38,2019-04-24 23:59:59.999989,11.4057,11.4154,11.1632,11.2699,382011.08,,SmaCross,38,737173.9999999999,Broker,38,9972.830000000002,9972.830000000002,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,600000qfq,39,2019-04-25 23:59:59.999989,11.2117,11.3378,11.1341,11.1923,408761.29,,SmaCross,39,737174.9999999999,Broker,39,9972.830000000002,9972.830000000002,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,600000qfq,40,2019-04-26 23:59:59.999989,11.0857,11.2117,10.9402,10.979,424695.81,,SmaCross,40,737175.9999999999,Broker,40,9972.830000000002,9972.830000000002,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,600000qfq,41,2019-04-29 23:59:59.999989,11.0081,11.1923,10.9984,11.1341,385869.38,,SmaCross,41,737178.9999999999,Broker,41,9972.830000000002,9972.830000000002,BuySell,41,,,Trades - Net Profit/Loss,41,,
