trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2020-08-13,002368.SZ,31.9,32.09,31.46,31.52,31.85,-0.33,-1.0361,61006.68,193770.793
2020-08-14,002368.SZ,31.65,32.88,31.4,32.88,31.52,1.36,4.3147,128982.91,417146.515
2020-08-17,002368.SZ,32.92,33.39,32.67,33.07,32.88,0.19,0.5779,108226.89,358572.675
2020-08-18,002368.SZ,33.3,33.85,33.0,33.13,33.07,0.06,0.1814,91753.42,306269.269
2020-08-19,002368.SZ,32.97,32.97,32.0,32.0,33.13,-1.13,-3.4108,81488.56,264137.646
2020-08-20,002368.SZ,31.78,32.58,31.68,31.92,32.0,-0.08,-0.25,58560.56,188527.388
2020-08-21,002368.SZ,32.19,32.5,31.2,31.4,31.92,-0.52,-1.6291,83685.19,266417.202
2020-08-24,002368.SZ,31.19,31.94,30.54,31.87,31.4,0.47,1.4968,79800.91,249928.012
2020-08-25,002368.SZ,31.76,32.05,31.29,31.33,31.87,-0.54,-1.6944,49458.13,156410.71
2020-08-26,002368.SZ,31.43,31.47,30.21,30.38,31.33,-0.95,-3.0322,80657.76,247548.704
2020-08-27,002368.SZ,30.5,30.7,29.81,30.26,30.38,-0.12,-0.395,81095.35,245400.657
2020-08-28,002368.SZ,30.32,30.5,29.49,30.5,30.26,0.24,0.7931,95602.02,287076.851
2020-08-31,002368.SZ,30.7,31.12,30.41,30.41,30.5,-0.09,-0.2951,75583.0,232786.805
2020-09-01,002368.SZ,30.41,30.71,30.1,30.7,30.41,0.29,0.9536,46446.2,141232.381
2020-09-02,002368.SZ,30.7,30.8,30.11,30.6,30.7,-0.1,-0.3257,58921.94,179224.789
2020-09-03,002368.SZ,30.38,30.46,29.7,29.8,30.6,-0.8,-2.6144,66818.43,200580.127
2020-09-04,002368.SZ,29.52,29.97,29.46,29.93,29.8,0.13,0.4362,51154.47,152089.845
2020-09-07,002368.SZ,29.88,30.16,29.03,29.05,29.93,-0.88,-2.9402,61149.83,181216.175
2020-09-08,002368.SZ,29.13,29.56,28.85,29.43,29.05,0.38,1.3081,46411.94,135702.661
2020-09-09,002368.SZ,29.03,29.22,28.53,28.68,29.43,-0.75,-2.5484,53268.87,153603.441
2020-09-10,002368.SZ,28.89,29.03,27.68,27.72,28.68,-0.96,-3.3473,62445.04,177029.294
2020-09-11,002368.SZ,27.58,27.82,26.97,27.48,27.72,-0.24,-0.8658,80297.49,219966.689
2020-09-14,002368.SZ,27.77,28.32,27.55,28.05,27.48,0.57,2.0742,71445.81,200302.56
2020-09-15,002368.SZ,27.66,28.39,27.66,28.32,28.05,0.27,0.9626,52759.66,148520.439
2020-09-16,002368.SZ,28.29,28.66,28.0,28.2,28.32,-0.12,-0.4237,43213.55,122365.174
2020-09-17,002368.SZ,28.19,29.15,27.92,28.93,28.2,0.73,2.5887,70879.36,203002.128
2020-09-18,002368.SZ,28.85,29.19,28.73,29.0,28.93,0.07,0.242,51671.99,149607.787
2020-09-21,002368.SZ,29.13,29.37,28.81,29.0,29.0,0.0,0.0,41821.64,121503.91
2020-09-22,002368.SZ,28.71,28.88,28.39,28.5,29.0,-0.5,-1.7241,35737.65,102298.352
2020-09-23,002368.SZ,28.56,28.86,28.41,28.84,28.5,0.34,1.193,27976.7,80275.392
2020-09-24,002368.SZ,28.65,28.83,28.27,28.29,28.84,-0.55,-1.9071,33164.13,94593.147
2020-09-25,002368.SZ,28.49,28.49,27.77,28.16,28.29,-0.13,-0.4595,31064.97,87273.231
2020-09-28,002368.SZ,28.11,28.25,27.75,27.81,28.16,-0.35,-1.2429,25514.84,71267.487
