trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2020-08-13,601669.SH,4.15,4.18,4.11,4.15,4.13,0.02,0.4843,467280.97,193544.995
2020-08-14,601669.SH,4.15,4.15,4.08,4.15,4.15,0.0,0.0,484331.17,199302.519
2020-08-17,601669.SH,4.16,4.28,4.13,4.24,4.15,0.09,2.1687,1120890.54,473133.675
2020-08-18,601669.SH,4.25,4.28,4.2,4.24,4.24,0.0,0.0,703860.72,298570.123
2020-08-19,601669.SH,4.23,4.35,4.18,4.28,4.24,0.04,0.9434,1274195.79,545683.012
2020-08-20,601669.SH,4.23,4.25,4.15,4.17,4.28,-0.11,-2.5701,787682.75,330280.69
2020-08-21,601669.SH,4.18,4.21,4.12,4.14,4.17,-0.03,-0.7194,479053.31,199233.164
2020-08-24,601669.SH,4.16,4.16,4.11,4.14,4.14,0.0,0.0,384513.26,159091.463
2020-08-25,601669.SH,4.15,4.16,4.1,4.11,4.14,-0.03,-0.7246,377775.98,155718.802
2020-08-26,601669.SH,4.1,4.11,4.02,4.04,4.11,-0.07,-1.7032,503828.01,204888.463
2020-08-27,601669.SH,4.01,4.11,4.01,4.09,4.04,0.05,1.2376,354243.33,144175.513
2020-08-28,601669.SH,4.1,4.13,4.07,4.13,4.09,0.04,0.978,457842.26,187968.228
2020-08-31,601669.SH,4.16,4.18,4.07,4.07,4.13,-0.06,-1.4528,515444.79,212938.825
2020-09-01,601669.SH,4.09,4.1,4.05,4.08,4.07,0.01,0.2457,321064.47,130867.657
2020-09-02,601669.SH,4.09,4.1,4.05,4.07,4.08,-0.01,-0.2451,332057.47,134959.21
2020-09-03,601669.SH,4.07,4.1,4.05,4.06,4.07,-0.01,-0.2457,298353.35,121327.977
2020-09-04,601669.SH,4.02,4.05,4.0,4.03,4.06,-0.03,-0.7389,391791.53,157471.776
2020-09-07,601669.SH,4.04,4.05,3.95,3.96,4.03,-0.07,-1.737,440476.0,176434.068
2020-09-08,601669.SH,3.97,4.03,3.96,4.01,3.96,0.05,1.2626,315734.36,125886.885
2020-09-09,601669.SH,3.98,4.06,3.97,4.01,4.01,0.0,0.0,468977.64,188288.022
2020-09-10,601669.SH,4.03,4.03,3.9,3.91,4.01,-0.1,-2.4938,457092.0,181214.082
2020-09-11,601669.SH,3.9,3.93,3.88,3.92,3.91,0.01,0.2558,271432.77,106048.608
2020-09-14,601669.SH,3.92,3.94,3.88,3.9,3.92,-0.02,-0.5102,239320.89,93579.653
2020-09-15,601669.SH,3.91,3.93,3.88,3.93,3.9,0.03,0.7692,224192.58,87515.163
2020-09-16,601669.SH,3.92,3.99,3.89,3.93,3.93,0.0,0.0,335486.67,132348.29
2020-09-17,601669.SH,3.91,3.95,3.9,3.93,3.93,0.0,0.0,236111.52,92667.908
2020-09-18,601669.SH,3.94,4.04,3.93,4.03,3.93,0.1,2.5445,560262.59,224183.813
2020-09-21,601669.SH,4.05,4.06,4.0,4.01,4.03,-0.02,-0.4963,293923.5,118267.284
2020-09-22,601669.SH,4.0,4.01,3.93,3.94,4.01,-0.07,-1.7456,289544.08,115103.358
2020-09-23,601669.SH,3.93,3.97,3.92,3.93,3.94,-0.01,-0.2538,195286.78,76846.168
2020-09-24,601669.SH,3.91,3.91,3.82,3.83,3.93,-0.1,-2.5445,387817.36,150004.212
2020-09-25,601669.SH,3.85,3.86,3.8,3.83,3.83,0.0,0.0,182239.03,69683.299
2020-09-28,601669.SH,3.83,3.86,3.81,3.82,3.83,-0.01,-0.2611,177199.51,67930.039
2020-09-29,601669.SH,3.84,3.86,3.82,3.82,3.82,0.0,0.0,144194.3,55327.851
2020-09-30,601669.SH,3.83,3.84,3.75,3.77,3.82,-0.05,-1.3089,219374.72,83201.914
2020-10-09,601669.SH,3.83,3.86,3.81,3.85,3.77,0.08,2.122,244435.29,93911.247
2020-10-12,601669.SH,3.86,3.98,3.86,3.97,3.85,0.12,3.1169,422590.2,166169.49
2020-10-13,601669.SH,3.97,3.97,3.92,3.93,3.97,-0.04,-1.0076,193906.77,76273.935
2020-10-14,601669.SH,3.93,3.96,3.89,3.96,3.93,0.03,0.7634,297062.22,116678.364
2020-10-15,601669.SH,3.95,3.96,3.91,3.93,3.96,-0.03,-0.7576,223705.88,88130.521
2020-10-16,601669.SH,3.94,4.02,3.93,3.95,3.93,0.02,0.5089,334783.57,132894.63
2020-10-19,601669.SH,3.96,4.04,3.93,3.95,3.95,0.0,0.0,320287.95,127748.556
2020-10-20,601669.SH,3.93,3.97,3.91,3.97,3.95,0.02,0.5063,240593.2,94839.924
2020-10-21,601669.SH,3.95,3.96,3.9,3.94,3.97,-0.03,-0.7557,223680.76,87744.688
2020-10-22,601669.SH,3.93,3.93,3.88,3.9,3.94,-0.04,-1.0152,155373.37,60663.003
2020-10-23,601669.SH,3.9,4.17,3.9,4.11,3.9,0.21,5.3846,1569703.59,638619.43
2020-10-26,601669.SH,4.15,4.16,4.05,4.07,4.11,-0.04,-0.9732,729146.49,297887.148
2020-10-27,601669.SH,4.05,4.06,3.98,3.99,4.07,-0.08,-1.9656,624368.05,250305.393
2020-10-28,601669.SH,4.01,4.05,3.96,4.02,3.99,0.03,0.7519,587343.18,235011.564
2020-10-29,601669.SH,3.97,4.0,3.93,3.99,4.02,-0.03,-0.7463,373669.72,148075.435
2020-10-30,601669.SH,3.99,4.0,3.8,3.84,3.99,-0.15,-3.7594,679401.13,263908.267
2020-11-02,601669.SH,3.84,3.85,3.78,3.81,3.84,-0.03,-0.7813,329690.22,125790.971
2020-11-03,601669.SH,3.83,3.89,3.81,3.87,3.81,0.06,1.5748,281062.99,108355.736
2020-11-04,601669.SH,3.87,3.87,3.81,3.83,3.87,-0.04,-1.0336,264532.4,101561.47
2020-11-05,601669.SH,3.86,3.9,3.84,3.88,3.83,0.05,1.3055,359426.39,139108.617
2020-11-06,601669.SH,3.89,3.92,3.84,3.9,3.88,0.02,0.5155,472246.04,183434.994
2020-11-09,601669.SH,3.92,4.0,3.91,3.98,3.9,0.08,2.0513,587756.95,233122.675
2020-11-10,601669.SH,4.01,4.04,3.95,3.96,3.98,-0.02,-0.5025,463869.99,185121.067
2020-11-11,601669.SH,3.96,4.13,3.95,4.07,3.96,0.11,2.7778,1089583.11,442918.065
2020-11-12,601669.SH,4.05,4.06,3.95,3.98,4.07,-0.09,-2.2113,598397.76,239513.036
2020-11-13,601669.SH,3.99,3.99,3.85,3.87,3.98,-0.11,-2.7638,716362.42,278966.023
2020-11-16,601669.SH,3.88,4.11,3.88,4.11,3.87,0.24,6.2016,1461959.32,589961.436
2020-11-17,601669.SH,4.1,4.11,4.03,4.07,4.11,-0.04,-0.9732,701214.49,285858.4
2020-11-18,601669.SH,4.06,4.13,4.03,4.07,4.07,0.0,0.0,664359.25,270771.405
2020-11-19,601669.SH,4.07,4.12,4.04,4.06,4.07,-0.01,-0.2457,591650.1,240493.751
2020-11-20,601669.SH,4.05,4.07,4.0,4.05,4.06,-0.01,-0.2463,458572.43,184931.575
2020-11-23,601669.SH,4.05,4.16,4.03,4.11,4.05,0.06,1.4815,1384253.7,567189.336
2020-11-24,601669.SH,4.09,4.16,4.07,4.14,4.11,0.03,0.7299,1127719.92,465902.914
2020-11-25,601669.SH,4.17,4.19,4.04,4.05,4.14,-0.09,-2.1739,1055390.03,434485.262
2020-11-26,601669.SH,4.04,4.05,4.0,4.02,4.05,-0.03,-0.7407,714872.73,287673.483
2020-11-27,601669.SH,4.03,4.07,3.98,4.07,4.02,0.05,1.2438,777767.54,313565.878
2020-11-30,601669.SH,4.12,4.38,4.11,4.22,4.07,0.15,3.6855,2803236.78,1193280.573
2020-12-01,601669.SH,4.23,4.26,4.14,4.23,4.22,0.01,0.237,1345708.55,563603.795
2020-12-02,601669.SH,4.24,4.32,4.18,4.25,4.23,0.02,0.4728,1201774.93,510580.914
2020-12-03,601669.SH,4.22,4.26,4.15,4.2,4.25,-0.05,-1.1765,937993.26,393776.534
2020-12-04,601669.SH,4.19,4.19,4.1,4.13,4.2,-0.07,-1.6667,732429.54,302770.352
2020-12-07,601669.SH,4.13,4.14,4.04,4.05,4.13,-0.08,-1.937,706221.87,288076.509
2020-12-08,601669.SH,4.05,4.07,4.02,4.02,4.05,-0.03,-0.7407,482423.18,194960.428
2020-12-09,601669.SH,4.02,4.04,3.97,3.98,4.02,-0.04,-0.995,554632.06,222311.644
2020-12-10,601669.SH,3.99,4.01,3.95,3.97,3.98,-0.01,-0.2513,461004.22,183324.785
