datetime,open,high,low,close,volume
20040922000000,1161,1166,1123,1124,77908
20040923000000,1115,1117,1106,1110,37196
20040924000000,1100,1118,1100,1113,29367
20040927000000,1109,1118,1092,1093,17336
20040928000000,1094,1105,1094,1100,26681
20040929000000,1101,1103,1086,1090,25441
20040930000000,1084,1087,1063,1064,26989
20041008000000,1066,1086,1053,1081,31094
20041011000000,1079,1092,1069,1083,25683
20041012000000,1086,1098,1070,1086,48752
20041013000000,1079,1089,1077,1080,42854
20041014000000,1085,1090,1079,1087,40421
20041015000000,1084,1087,1072,1075,43496
20041018000000,1079,1079,1069,1073,30069
20041019000000,1070,1086,1070,1077,38048
20041020000000,1085,1093,1081,1092,49666
20041021000000,1090,1090,1082,1085,32403
20041022000000,1083,1084,1072,1074,36960
20041025000000,1074,1083,1069,1078,29902
20041026000000,1086,1086,1078,1080,14682
20041027000000,1082,1084,1079,1082,13703
20041028000000,1078,1085,1075,1084,24494
20041029000000,1078,1084,1076,1078,18124
20041101000000,1074,1077,1062,1068,56806
20041102000000,1065,1074,1064,1073,37464
20041103000000,1072,1074,1067,1074,37738
20041104000000,1075,1075,1069,1073,28924
20041105000000,1069,1087,1068,1079,69458
20041108000000,1081,1083,1077,1077,25243
20041109000000,1077,1081,1074,1077,36194
20041110000000,1078,1078,1073,1076,40319
20041111000000,1076,1079,1073,1074,30357
20041112000000,1074,1076,1068,1070,40148
20041115000000,1074,1086,1073,1081,62877
20041116000000,1085,1090,1080,1082,48416
20041117000000,1084,1085,1079,1084,30629
20041118000000,1088,1093,1085,1090,51946
20041119000000,1087,1089,1083,1088,32469
20041122000000,1082,1085,1081,1083,34323
20041123000000,1082,1086,1082,1084,49774
20041124000000,1085,1089,1085,1089,36973
20041125000000,1088,1106,1087,1103,94724
20041126000000,1104,1106,1097,1101,47300
20041129000000,1099,1100,1083,1085,76339
20041130000000,1083,1087,1082,1085,42109
20041201000000,1084,1092,1084,1091,66271
20041202000000,1089,1098,1085,1088,50837
20041203000000,1087,1094,1086,1093,60522
20041206000000,1096,1107,1095,1101,95244
20041207000000,1104,1104,1096,1097,79529
20041208000000,1091,1094,1088,1094,107238
20041209000000,1096,1104,1096,1102,88951
20041210000000,1100,1101,1096,1099,69133
20041213000000,1100,1105,1097,1105,103837
20041214000000,1109,1114,1101,1101,97113
20041215000000,1103,1104,1101,1103,67782
20041216000000,1102,1103,1101,1101,75905
20041217000000,1101,1101,1096,1098,125355
20041220000000,1101,1105,1099,1102,90195
20041221000000,1102,1104,1100,1102,98159
20041222000000,1102,1102,1100,1101,92246
20041223000000,1100,1103,1097,1100,99567
20041224000000,1102,1102,1099,1101,55196
20041227000000,1101,1101,1099,1100,89704
20041228000000,1100,1101,1085,1088,109428
20041229000000,1088,1092,1085,1090,87114
20041230000000,1088,1093,1087,1089,81071
20041231000000,1090,1092,1087,1091,61865
20050104000000,1085,1089,1079,1081,50661
20050105000000,1077,1087,1077,1086,57702
20050106000000,1086,1092,1086,1089,58265
20050107000000,1097,1099,1091,1093,71048
20050110000000,1093,1094,1087,1090,62543
20050111000000,1091,1093,1089,1090,63406
20050112000000,1088,1093,1088,1092,76684
20050113000000,1085,1091,1085,1090,69985
20050114000000,1090,1092,1089,1091,65483
20050117000000,1086,1091,1086,1091,52473
20050118000000,1093,1093,1089,1091,44488
20050119000000,1090,1095,1089,1093,66390
20050120000000,1093,1094,1090,1091,65417
20050121000000,1092,1093,1090,1091,44754
20050124000000,1090,1092,1089,1092,66984
20050125000000,1090,1094,1090,1093,61903
20050126000000,1094,1095,1092,1092,51817
20050127000000,1092,1093,1089,1090,52406
20050128000000,1088,1090,1085,1088,56684
20050131000000,1088,1088,1083,1084,35758
20050201000000,1086,1086,1082,1082,38672
20050202000000,1082,1085,1080,1081,61909
20050203000000,1080,1085,1080,1085,53578
20050204000000,1085,1086,1084,1085,46612
20050216000000,1093,1095,1088,1089,61530
20050217000000,1087,1089,1084,1088,47460
20050218000000,1091,1092,1085,1086,45786
20050221000000,1089,1089,1084,1088,66161
20050222000000,1087,1097,1087,1096,56765
20050223000000,1101,1103,1091,1092,59475
20050224000000,1093,1096,1091,1094,77244
20050225000000,1092,1094,1091,1091,34268
20050228000000,1101,1131,1100,1118,95688
20050301000000,1118,1119,1100,1106,73122
20050302000000,1101,1121,1101,1112,78480
20050303000000,1109,1115,1105,1108,66333
20050304000000,1110,1116,1104,1116,72097
20050307000000,1118,1125,1115,1119,57738
20050308000000,1108,1119,1107,1118,63233
20050309000000,1123,1132,1119,1127,81552
20050310000000,1129,1152,1129,1146,112587
20050311000000,1152,1161,1135,1141,82620
20050314000000,1157,1160,1136,1144,91020
20050315000000,1137,1173,1137,1165,71085
20050316000000,1226,1254,1226,1244,92958
20050317000000,1230,1243,1215,1218,56517
20050318000000,1222,1226,1180,1199,72304
20050321000000,1192,1247,1189,1235,88466
20050322000000,1214,1239,1208,1235,152337
20050323000000,1233,1245,1222,1226,131643
20050324000000,1232,1243,1219,1240,105359
20050325000000,1247,1253,1235,1239,108176
20050328000000,1253,1256,1232,1239,72667
20050329000000,1242,1248,1235,1236,61047
20050330000000,1265,1269,1239,1244,83780
20050331000000,1253,1260,1246,1253,60179
20050401000000,1249,1255,1227,1254,69028
20050404000000,1248,1267,1246,1262,62507
20050405000000,1263,1266,1253,1254,58821
20050406000000,1248,1257,1248,1256,42815
20050407000000,1265,1265,1253,1254,36947
