期货名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
LPG主力,2020-03-30,2350,2366,2438,2318,85116,4050810896,0.00,0.00,0,0.00
LPG主力,2020-03-31,2430,2545,2545,2404,89839,4516356096,5.93,6.98,166,0.00
LPG主力,2020-04-01,2547,2624,2642,2530,199435,10365759232,4.46,4.42,111,0.00
LPG主力,2020-04-02,2644,2779,2779,2607,206057,11074584064,6.62,6.97,181,0.00
LPG主力,2020-04-03,2790,2875,2875,2732,323535,18143979776,5.32,7.00,188,0.00
LPG主力,2020-04-07,2920,3019,3063,2913,430450,25874024704,5.35,7.67,215,0.00
LPG主力,2020-04-08,2986,2939,3014,2891,494076,29189108992,4.09,-2.20,-66,0.00
LPG主力,2020-04-09,2980,3018,3044,2964,457508,27504420608,2.71,2.20,65,0.00
LPG主力,2020-04-10,2930,3021,3022,2913,310584,18455513344,3.63,0.53,16,0.00
LPG主力,2020-04-13,3075,3139,3178,3075,400984,25081110784,3.47,5.65,168,0.00
LPG主力,2020-04-14,3146,3159,3166,3087,327672,20478369280,2.53,1.02,32,0.00
LPG主力,2020-04-15,3116,3243,3336,3108,803635,52220478976,7.30,3.81,119,0.00
LPG主力,2020-04-16,3250,3265,3312,3178,738801,47871022336,4.12,0.49,16,0.00
LPG主力,2020-04-17,3296,3188,3330,3128,727177,46531311104,6.24,-1.57,-51,0.00
LPG主力,2020-04-20,3088,3221,3226,3080,500458,31575584000,4.56,0.69,22,0.00
LPG主力,2020-04-21,3200,3240,3266,3132,767821,49124484352,4.25,2.73,86,0.00
LPG主力,2020-04-22,3182,3129,3220,3065,995470,62345429504,4.85,-2.16,-69,0.00
LPG主力,2020-04-23,3169,3350,3350,3147,744746,48786627584,6.48,6.99,219,0.00
LPG主力,2020-04-24,3350,3400,3423,3315,784376,52835244800,3.30,3.82,125,0.00
LPG主力,2020-04-27,3380,3576,3594,3369,887455,62534833152,6.68,6.21,209,0.00
LPG主力,2020-04-28,3553,3357,3659,3297,1270395,86997286912,10.28,-4.71,-166,0.00
LPG主力,2020-04-29,3357,3319,3469,3269,949175,63657816064,5.84,-3.07,-105,0.00
LPG主力,2020-04-30,3360,3394,3397,3315,602578,40426968064,2.45,1.22,41,0.00
LPG主力,2020-05-06,3500,3440,3524,3377,371491,25505732864,4.38,2.56,86,0.00
LPG主力,2020-05-07,3415,3413,3469,3389,414782,28399307520,2.33,-0.55,-19,0.00
LPG主力,2020-05-08,3448,3454,3463,3355,423534,28952128768,3.16,0.91,31,0.00
LPG主力,2020-05-11,3455,3348,3507,3326,582185,39679518976,5.30,-2.02,-69,0.00
LPG主力,2020-05-12,3350,3342,3356,3272,472577,31381989376,2.47,-1.91,-65,0.00
LPG主力,2020-05-13,3353,3224,3355,3209,565841,36879662080,4.40,-2.89,-96,0.00
LPG主力,2020-05-14,3235,3257,3273,3205,438676,28429690880,2.09,-0.03,-1,0.00
LPG主力,2020-05-15,3257,3275,3295,3226,338202,22075852544,2.13,1.08,35,0.00
LPG主力,2020-05-18,3274,3230,3279,3168,551455,35473812992,3.40,-1.01,-33,0.00
LPG主力,2020-05-19,3250,3360,3375,3243,516544,34177834752,4.10,4.48,144,0.00
LPG主力,2020-05-20,3360,3388,3426,3342,348115,23555160832,2.54,2.42,80,0.00
LPG主力,2020-05-21,3399,3383,3414,3365,249304,16885063168,1.45,0.00,0,0.00
LPG主力,2020-05-22,3385,3339,3433,3292,371833,25046562816,4.16,-1.39,-47,0.00
LPG主力,2020-05-25,3365,3431,3485,3356,402252,27534386176,3.83,1.90,64,0.00
LPG主力,2020-05-26,3421,3406,3439,3372,264800,18037376768,1.96,-0.47,-16,0.00
LPG主力,2020-05-27,3415,3397,3433,3368,227595,15466469632,1.91,-0.23,-8,0.00
LPG主力,2020-05-28,3391,3434,3445,3374,209954,14309811712,2.09,1.09,37,0.00
LPG主力,2020-05-29,3445,3438,3448,3398,158223,10830934528,1.47,0.91,31,0.00
LPG主力,2020-06-01,3437,3525,3537,3414,206962,14435530752,3.59,3.01,103,0.00
LPG主力,2020-06-02,3518,3606,3619,3517,279000,19943841024,2.93,3.41,119,0.00
LPG主力,2020-06-03,3600,3592,3610,3560,181670,13020663296,1.40,0.50,18,0.00
LPG主力,2020-06-04,3583,3516,3584,3508,182757,12970867968,2.12,-1.87,-67,0.00
LPG主力,2020-06-05,3514,3592,3605,3513,185042,13212433408,2.59,1.24,44,0.00
LPG主力,2020-06-08,3635,3549,3677,3534,239605,17120897536,4.01,-0.59,-21,0.00
LPG主力,2020-06-09,3532,3584,3598,3531,184452,13168944384,1.88,0.34,12,0.00
LPG主力,2020-06-10,3573,3549,3588,3535,139040,9889505792,1.49,-0.56,-20,0.00
LPG主力,2020-06-11,3549,3406,3558,3376,365207,25126583808,5.12,-4.22,-150,0.00
LPG主力,2020-06-12,3380,3347,3395,3268,403620,26952140544,3.69,-2.70,-93,0.00
LPG主力,2020-06-15,3370,3373,3425,3313,293515,19758496000,3.36,1.05,35,0.00
LPG主力,2020-06-16,3354,3461,3488,3342,306661,21051240192,4.34,2.85,96,0.00
LPG主力,2020-06-17,3485,3481,3516,3440,209142,14556145408,2.21,1.43,49,0.00
LPG主力,2020-06-18,3479,3477,3505,3453,166693,11580474880,1.49,-0.06,-2,0.00
LPG主力,2020-06-19,3482,3559,3573,3462,265168,18729766912,3.20,2.48,86,0.00
LPG主力,2020-06-22,3570,3517,3588,3493,179948,12698168320,2.69,-0.40,-14,0.00
LPG主力,2020-06-23,3525,3546,3567,3501,146082,10341210880,1.87,0.51,18,0.00
LPG主力,2020-06-24,3551,3523,3556,3461,184985,12978170112,2.68,-0.45,-16,0.00
LPG主力,2020-06-29,3487,3483,3506,3437,133792,9300499200,1.97,-0.68,-24,0.00
LPG主力,2020-06-30,3500,3560,3577,3497,191710,13580157440,2.30,2.45,85,0.00
LPG主力,2020-07-01,3551,3542,3574,3510,157913,11185091584,1.81,0.03,1,0.00
LPG主力,2020-07-02,3535,3604,3621,3531,252522,18106774528,2.54,1.78,63,0.00
LPG主力,2020-07-03,3604,3624,3630,3577,145908,10495739904,1.48,1.09,39,0.00
LPG主力,2020-07-06,3615,3573,3625,3532,203846,14561301760,2.59,-0.64,-23,0.00
LPG主力,2020-07-07,3569,3589,3625,3540,199384,14286439424,2.38,0.50,18,0.00
LPG主力,2020-07-08,3598,3586,3646,3567,217702,15668180736,2.21,0.11,4,0.00
LPG主力,2020-07-09,3589,3667,3673,3580,217011,15725722880,2.58,1.92,69,0.00
LPG主力,2020-07-10,3680,3624,3687,3591,213464,15493245184,2.65,0.03,1,0.00
LPG主力,2020-07-13,3630,3829,3897,3621,427777,32265341696,7.61,5.51,200,0.00
LPG主力,2020-07-14,3824,3843,3856,3773,245846,18784829184,2.20,1.91,72,0.00
LPG主力,2020-07-15,3830,3886,3918,3807,285840,22155691776,2.91,1.73,66,0.00
LPG主力,2020-07-16,3894,3874,3908,3836,207724,16103086592,1.86,-0.03,-1,0.00
LPG主力,2020-07-17,3875,3865,3984,3845,337429,26400347904,3.59,-0.28,-11,0.00
LPG主力,2020-07-20,3856,3874,3895,3774,293971,22550192128,3.09,-0.95,-37,0.00
LPG主力,2020-07-21,3872,3992,4025,3865,288022,22740227072,4.17,4.09,157,0.00
LPG主力,2020-07-22,4007,4015,4059,3939,282485,22630370816,3.04,1.72,68,0.00
LPG主力,2020-07-23,4001,4004,4024,3953,206739,16521406976,1.77,-0.02,-1,0.00
LPG主力,2020-07-24,3988,3946,3996,3910,233556,18460249600,2.15,-1.23,-49,0.00
LPG主力,2020-07-27,3965,3919,4033,3854,274837,21728316672,4.53,-0.81,-32,0.00
LPG主力,2020-07-28,3928,3888,3962,3839,230121,17945855488,3.11,-1.62,-64,0.00
LPG主力,2020-07-29,3884,3934,3950,3856,195981,15326938624,2.41,0.90,35,0.00
LPG主力,2020-07-30,3910,3838,3926,3797,251512,19417590528,3.30,-1.84,-72,0.00
LPG主力,2020-07-31,3815,3826,3884,3780,247733,18980002048,2.69,-0.88,-34,0.00
LPG主力,2020-08-03,3826,3841,3861,3760,213180,16257626624,2.64,0.29,11,0.00
LPG主力,2020-08-04,3848,3856,3910,3834,178671,13825471488,1.99,1.13,43,0.00
LPG主力,2020-08-05,3859,3977,4022,3817,265247,20944486656,5.30,2.82,109,0.00
LPG主力,2020-08-06,4000,3978,4018,3926,154441,12271379712,2.33,0.76,30,0.00
LPG主力,2020-08-07,3998,3948,4036,3910,175893,13944124416,3.17,-0.60,-24,0.00
LPG主力,2020-08-10,3948,3924,4038,3898,199815,15799909120,3.53,-0.98,-39,0.00
LPG主力,2020-08-11,3930,3873,3965,3861,181550,14197741312,2.63,-2.02,-80,0.00
LPG主力,2020-08-12,3890,3894,3905,3810,175136,13527425792,2.43,-0.41,-16,0.00
LPG主力,2020-08-13,3900,3841,3930,3829,131466,10155705088,2.62,-0.52,-20,0.00
LPG主力,2020-08-14,3854,3867,3873,3814,102324,7861235712,1.53,0.13,5,0.00
LPG主力,2020-08-17,3875,3862,3956,3841,170177,13232968960,2.99,0.55,21,0.00
LPG主力,2020-08-18,3860,3865,3899,3846,110915,8599106304,1.36,-0.59,-23,0.00
LPG主力,2020-08-19,3868,3856,3875,3790,179540,13788415488,2.19,-0.52,-20,0.00
LPG主力,2020-08-20,3838,3584,3871,3476,523321,38073701632,10.29,-6.64,-255,0.00
LPG主力,2020-08-21,3580,3602,3636,3551,199550,14330470656,2.34,-0.96,-35,0.00
LPG主力,2020-08-24,3585,3605,3617,3565,114097,8200641280,1.45,0.42,15,0.00
LPG主力,2020-08-25,3600,3611,3636,3525,186118,13387652608,3.09,0.50,18,0.00
LPG主力,2020-08-26,3623,3600,3629,3563,121763,8740785920,1.84,0.11,4,0.00
LPG主力,2020-08-27,3619,3631,3664,3579,153378,11095714560,2.37,1.17,42,0.00
LPG主力,2020-08-28,3632,3685,3700,3620,159118,11674131712,2.21,1.88,68,0.00
LPG主力,2020-08-31,3687,3673,3764,3639,171096,12659338752,3.41,0.14,5,0.00
LPG主力,2020-09-01,3666,3682,3700,3622,118534,8693545728,2.11,-0.46,-17,0.00
LPG主力,2020-09-02,3689,3583,3695,3548,191706,13832569344,4.01,-2.29,-84,0.00
LPG主力,2020-09-03,3583,3557,3609,3533,148772,10627926016,2.11,-1.39,-50,0.00
LPG主力,2020-09-04,3538,3558,3610,3514,141804,10102275072,2.69,-0.36,-13,0.00
LPG主力,2020-09-07,3560,3533,3569,3434,225814,15797292288,3.79,-0.81,-29,0.00
LPG主力,2020-09-08,3520,3521,3563,3502,97965,6899635200,1.74,0.69,24,0.00
LPG主力,2020-09-09,3488,3519,3549,3401,252154,17551746048,4.20,-0.06,-2,0.00
LPG主力,2020-09-10,3525,3422,3583,3379,238196,16681773312,5.86,-1.67,-58,0.00
LPG主力,2020-09-11,3418,3391,3460,3359,191266,13032144384,2.88,-3.14,-110,0.00
LPG主力,2020-09-14,3391,3425,3448,3374,120428,8224782336,2.17,0.56,19,0.00
LPG主力,2020-09-15,3425,3402,3445,3377,131504,8978803968,1.99,-0.35,-12,0.00
LPG主力,2020-09-16,3415,3449,3477,3395,131821,9072319744,2.40,1.05,36,0.00
LPG主力,2020-09-17,3454,3447,3470,3405,134520,9260639232,1.89,0.17,6,0.00
LPG主力,2020-09-18,3455,3566,3579,3410,210185,14727400704,4.91,3.60,124,0.00
LPG主力,2020-09-21,3555,3480,3596,3467,159932,11294314752,3.68,-0.66,-23,0.00
LPG主力,2020-09-22,3477,3418,3492,3333,163685,11213529088,4.50,-3.17,-112,0.00
LPG主力,2020-09-23,3421,3434,3468,3372,150128,10273003008,2.80,0.26,9,0.00
LPG主力,2020-09-24,3445,3417,3498,3411,141736,9784308736,2.54,-0.12,-4,0.00
LPG主力,2020-09-25,3418,3508,3533,3390,128052,8926672384,4.14,1.65,57,0.00
LPG主力,2020-09-28,3521,3446,3558,3431,149623,10463983872,3.64,-1.12,-39,0.00
