期货代码,期货名称,secid,归属交易所
ni2210,沪镍2210,113.ni2210,上期所
ni2209,沪镍2209,113.ni2209,上期所
ni2204,沪镍2204,113.ni2204,上期所
nim,沪镍主力,113.nim,上期所
ni2112,沪镍2112,113.ni2112,上期所
ni2205,沪镍2205,113.ni2205,上期所
ni2203,沪镍2203,113.ni2203,上期所
nis,沪镍次主力,113.nis,上期所
ni2202,沪镍2202,113.ni2202,上期所
ni2208,沪镍2208,113.ni2208,上期所
ni2201,沪镍2201,113.ni2201,上期所
ni2207,沪镍2207,113.ni2207,上期所
b2206,豆二2206,114.b2206,大商所
v2112,聚氯乙烯2112,114.v2112,大商所
ni2206,沪镍2206,113.ni2206,上期所
p2112,棕榈油2112,114.p2112,大商所
p2202,棕榈油2202,114.p2202,大商所
pm,棕榈油主力,114.pm,大商所
p2201,棕榈油2201,114.p2201,大商所
b2207,豆二2207,114.b2207,大商所
ru2209,橡胶2209,113.ru2209,上期所
b2209,豆二2209,114.b2209,大商所
ru2204,橡胶2204,113.ru2204,上期所
rus,橡胶次主力,113.rus,上期所
ru2205,橡胶2205,113.ru2205,上期所
rum,橡胶主力,113.rum,上期所
ru2201,橡胶2201,113.ru2201,上期所
ru2203,橡胶2203,113.ru2203,上期所
vm,聚氯乙烯主力,114.vm,大商所
v2201,聚氯乙烯2201,114.v2201,大商所
y2211,豆油2211,114.y2211,大商所
y2208,豆油2208,114.y2208,大商所
p2209,棕榈油2209,114.p2209,大商所
p2203,棕榈油2203,114.p2203,大商所
y2209,豆油2209,114.y2209,大商所
y2207,豆油2207,114.y2207,大商所
p2206,棕榈油2206,114.p2206,大商所
csm,玉米淀粉主力,114.csm,大商所
cs2201,玉米淀粉2201,114.cs2201,大商所
p2204,棕榈油2204,114.p2204,大商所
v2206,聚氯乙烯2206,114.v2206,大商所
ps,棕榈油次主力,114.ps,大商所
p2205,棕榈油2205,114.p2205,大商所
snm,沪锡主力,113.snm,上期所
sn2112,沪锡2112,113.sn2112,上期所
ys,豆油次主力,114.ys,大商所
y2205,豆油2205,114.y2205,大商所
y2203,豆油2203,114.y2203,大商所
ss2207,不锈钢2207,113.ss2207,上期所
v2204,聚氯乙烯2204,114.v2204,大商所
css,玉米淀粉次主力,114.css,大商所
cs2203,玉米淀粉2203,114.cs2203,大商所
sns,沪锡次主力,113.sns,上期所
sn2201,沪锡2201,113.sn2201,上期所
ru2206,橡胶2206,113.ru2206,上期所
SA112,纯碱112,115.SA112,郑商所
vs,聚氯乙烯次主力,114.vs,大商所
v2205,聚氯乙烯2205,114.v2205,大商所
bm,豆二主力,114.bm,大商所
b2201,豆二2201,114.b2201,大商所
