期货名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
焦炭2202,2021-02-25,2320.5,2320.5,2320.5,2320.5,1,232050.0,0.00,0.00,0.0,0.00
焦炭2202,2021-03-02,2237.0,2293.5,2360.0,2232.0,7,1594650.0,5.52,-1.16,-27.0,0.00
焦炭2202,2021-03-04,2253.5,2253.5,2253.5,2253.5,2,450700.0,0.00,-1.08,-24.5,0.00
焦炭2202,2021-03-09,2185.0,2185.0,2185.0,2185.0,1,218500.0,0.00,-3.04,-68.5,0.00
焦炭2202,2021-03-12,2184.5,2184.5,2184.5,2184.5,1,218450.0,0.00,-0.02,-0.5,0.00
焦炭2202,2021-03-19,2231.0,2231.0,2231.0,2231.0,1,223100.0,0.00,2.13,46.5,0.00
焦炭2202,2021-03-26,2174.0,2174.0,2174.0,2174.0,2,434800.0,0.00,-2.55,-57.0,0.00
焦炭2202,2021-04-01,2281.5,2294.5,2308.0,2281.5,428,98422150.0,1.22,5.54,120.5,0.00
焦炭2202,2021-04-02,2340.5,2331.0,2345.5,2308.0,579,134982500.0,1.63,1.37,31.5,0.00
焦炭2202,2021-04-06,2380.5,2342.5,2390.0,2338.5,994,234434450.0,2.21,0.49,11.5,0.00
焦炭2202,2021-04-07,2347.0,2356.5,2367.0,2316.5,925,216454600.0,2.14,-0.06,-1.5,0.00
焦炭2202,2021-04-08,2340.0,2348.0,2359.5,2335.0,504,118240450.0,1.05,0.34,8.0,0.00
焦炭2202,2021-04-09,2370.5,2356.0,2403.5,2356.0,254,60389800.0,2.02,0.43,10.0,0.00
焦炭2202,2021-04-12,2327.0,2358.5,2370.0,2322.0,861,201058050.0,2.02,-0.80,-19.0,0.00
焦炭2202,2021-04-13,2374.5,2372.0,2391.0,2366.0,157,37367050.0,1.07,1.58,37.0,0.00
焦炭2202,2021-04-14,2387.0,2447.5,2447.5,2386.5,71,17238050.0,2.56,2.84,67.5,0.00
焦炭2202,2021-04-15,2426.0,2415.5,2429.0,2407.0,83,20099600.0,0.91,-0.49,-12.0,0.00
焦炭2202,2021-04-16,2452.0,2490.0,2493.0,2452.0,40,9920200.0,1.69,2.83,68.5,0.00
焦炭2202,2021-04-19,2488.0,2476.0,2520.5,2476.0,98,24568050.0,1.79,-0.16,-4.0,0.00
焦炭2202,2021-04-20,2489.0,2492.0,2494.0,2477.0,50,12436050.0,0.68,-0.58,-14.5,0.00
焦炭2202,2021-04-21,2532.0,2510.5,2532.0,2490.5,91,22836500.0,1.67,0.94,23.5,0.00
焦炭2202,2021-04-22,2485.5,2525.0,2541.0,2485.5,54,13555250.0,2.21,0.62,15.5,0.00
焦炭2202,2021-04-23,2604.0,2517.5,2604.0,2499.0,138,34974250.0,4.18,0.30,7.5,0.00
焦炭2202,2021-04-26,2537.5,2600.5,2615.5,2536.0,322,83276650.0,3.14,2.62,66.5,0.00
焦炭2202,2021-04-27,2600.5,2610.0,2635.5,2600.0,268,70160400.0,1.37,0.93,24.0,0.00
焦炭2202,2021-04-28,2639.0,2621.0,2639.0,2599.5,236,61779000.0,1.51,0.13,3.5,0.00
