期货名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
玉米主力,2021-10-18 09:15,2560,2556,2564,2549,58728,1500643660,0.59,0.04,1,0.00
玉米主力,2021-10-18 09:30,2555,2553,2560,2551,24454,624988150,0.35,-0.12,-3,0.00
玉米主力,2021-10-18 09:45,2552,2553,2554,2546,28357,723215210,0.31,0.00,0,0.00
玉米主力,2021-10-18 10:00,2553,2546,2553,2545,20026,510308060,0.31,-0.27,-7,0.00
玉米主力,2021-10-18 10:15,2546,2543,2546,2535,36113,917724010,0.43,-0.12,-3,0.00
玉米主力,2021-10-18 10:45,2543,2552,2554,2543,33281,848456560,0.43,0.35,9,0.00
玉米主力,2021-10-18 11:00,2553,2549,2554,2547,11994,305920180,0.27,-0.12,-3,0.00
玉米主力,2021-10-18 11:15,2549,2546,2549,2543,11179,284588830,0.24,-0.12,-3,0.00
玉米主力,2021-10-18 11:30,2546,2550,2552,2544,19363,493426490,0.31,0.16,4,0.00
玉米主力,2021-10-18 13:45,2550,2545,2551,2545,18321,466884510,0.24,-0.20,-5,0.00
玉米主力,2021-10-18 14:00,2545,2547,2548,2544,16064,408883530,0.16,0.08,2,0.00
玉米主力,2021-10-18 14:15,2546,2545,2548,2543,13227,336707140,0.20,-0.08,-2,0.00
玉米主力,2021-10-18 14:30,2545,2545,2546,2542,27298,694400760,0.16,0.00,0,0.00
玉米主力,2021-10-18 14:45,2545,2542,2546,2540,15585,396309650,0.24,-0.12,-3,0.00
玉米主力,2021-10-18 15:00,2541,2542,2546,2540,24804,630880370,0.24,0.00,0,0.00
玉米主力,2021-10-18 21:15,2538,2545,2547,2534,104464,2653548736,0.51,0.12,3,0.00
玉米主力,2021-10-18 21:30,2546,2544,2548,2542,19437,494720870,0.24,-0.04,-1,0.00
玉米主力,2021-10-18 21:45,2545,2548,2548,2542,16975,432030160,0.24,0.16,4,0.00
玉米主力,2021-10-18 22:00,2547,2547,2551,2546,22746,579769600,0.20,-0.04,-1,0.00
玉米主力,2021-10-18 22:15,2547,2548,2550,2545,11559,294460750,0.20,0.04,1,0.00
玉米主力,2021-10-18 22:30,2547,2550,2550,2547,7865,200487750,0.12,0.08,2,0.00
玉米主力,2021-10-18 22:45,2550,2549,2550,2548,7764,197913300,0.08,-0.04,-1,0.00
玉米主力,2021-10-18 23:00,2550,2548,2550,2546,12140,309326040,0.16,-0.04,-1,0.00
玉米主力,2021-10-19 09:15,2547,2549,2551,2541,41331,1052438250,0.39,0.04,1,0.00
玉米主力,2021-10-19 09:30,2548,2554,2555,2546,18949,483321740,0.35,0.20,5,0.00
玉米主力,2021-10-19 09:45,2554,2553,2555,2551,12291,313751830,0.16,-0.04,-1,0.00
玉米主力,2021-10-19 10:00,2554,2555,2555,2551,9614,245464930,0.16,0.08,2,0.00
玉米主力,2021-10-19 10:15,2555,2559,2560,2554,32351,827495440,0.23,0.16,4,0.00
玉米主力,2021-10-19 10:45,2559,2567,2571,2559,65451,1679110340,0.47,0.31,8,0.00
玉米主力,2021-10-19 11:00,2567,2565,2569,2564,20675,530580400,0.19,-0.08,-2,0.00
玉米主力,2021-10-19 11:15,2566,2571,2573,2565,47308,1215909260,0.31,0.23,6,0.00
玉米主力,2021-10-19 11:30,2572,2573,2575,2570,31588,812473430,0.19,0.08,2,0.00
玉米主力,2021-10-19 13:45,2574,2564,2574,2560,44365,1138276340,0.54,-0.35,-9,0.00
玉米主力,2021-10-19 14:00,2563,2562,2566,2561,16368,419585800,0.20,-0.08,-2,0.00
玉米主力,2021-10-19 14:15,2562,2564,2565,2559,25039,641403050,0.23,0.08,2,0.00
玉米主力,2021-10-19 14:30,2563,2566,2566,2560,12300,315218990,0.23,0.08,2,0.00
玉米主力,2021-10-19 14:45,2566,2568,2569,2564,24045,617040410,0.19,0.08,2,0.00
玉米主力,2021-10-19 15:00,2567,2569,2572,2564,37142,953927250,0.31,0.04,1,0.00
玉米主力,2021-10-19 21:15,2564,2563,2571,2561,61010,1565074622,0.39,-0.23,-6,0.00
玉米主力,2021-10-19 21:30,2563,2559,2566,2552,59254,1516657820,0.55,-0.16,-4,0.00
玉米主力,2021-10-19 21:45,2558,2554,2563,2551,39510,1009704700,0.47,-0.20,-5,0.00
玉米主力,2021-10-19 22:00,2555,2558,2561,2552,16949,433249040,0.35,0.16,4,0.00
玉米主力,2021-10-19 22:15,2558,2563,2566,2557,35149,900587746,0.35,0.20,5,0.00
玉米主力,2021-10-19 22:30,2563,2563,2565,2559,20820,533518100,0.23,0.00,0,0.00
玉米主力,2021-10-19 22:45,2563,2562,2565,2561,10134,259729620,0.16,-0.04,-1,0.00
玉米主力,2021-10-19 23:00,2562,2561,2562,2560,12315,315370670,0.08,-0.04,-1,0.00
玉米主力,2021-10-20 09:15,2561,2565,2565,2555,35449,907989700,0.39,0.16,4,0.00
玉米主力,2021-10-20 09:30,2565,2567,2569,2563,23051,591609870,0.23,0.08,2,0.00
玉米主力,2021-10-20 09:45,2567,2561,2567,2558,17903,458699570,0.35,-0.23,-6,0.00
玉米主力,2021-10-20 10:00,2562,2566,2567,2561,22514,577385300,0.23,0.20,5,0.00
玉米主力,2021-10-20 10:15,2566,2566,2568,2564,19065,489263890,0.16,0.00,0,0.00
玉米主力,2021-10-20 10:45,2566,2562,2567,2558,19248,493085590,0.35,-0.16,-4,0.00
玉米主力,2021-10-20 11:00,2561,2565,2566,2561,13190,338179280,0.20,0.12,3,0.00
玉米主力,2021-10-20 11:15,2566,2565,2567,2564,11841,303812540,0.12,0.00,0,0.00
玉米主力,2021-10-20 11:30,2564,2563,2566,2562,18097,464011050,0.16,-0.08,-2,0.00
玉米主力,2021-10-20 13:45,2563,2566,2568,2561,20483,525394360,0.27,0.12,3,0.00
玉米主力,2021-10-20 14:00,2566,2567,2568,2565,13015,334042190,0.12,0.04,1,0.00
玉米主力,2021-10-20 14:15,2567,2567,2569,2566,15572,399871340,0.12,0.00,0,0.00
玉米主力,2021-10-20 14:30,2568,2568,2569,2567,12965,332950740,0.08,0.04,1,0.00
玉米主力,2021-10-20 14:45,2569,2573,2576,2568,43767,1125698960,0.31,0.19,5,0.00
玉米主力,2021-10-20 15:00,2573,2568,2574,2565,26874,690140260,0.35,-0.19,-5,0.00
玉米主力,2021-10-20 21:15,2568,2580,2588,2567,87565,2258408926,0.82,0.47,12,0.00
玉米主力,2021-10-20 21:30,2579,2578,2581,2572,44275,1140616980,0.35,-0.08,-2,0.00
玉米主力,2021-10-20 21:45,2578,2579,2580,2575,30764,792993730,0.19,0.04,1,0.00
玉米主力,2021-10-20 22:00,2578,2580,2580,2576,14681,378508000,0.16,0.04,1,0.00
玉米主力,2021-10-20 22:15,2580,2576,2580,2576,15703,404759650,0.16,-0.16,-4,0.00
玉米主力,2021-10-20 22:30,2577,2580,2581,2576,13071,336947530,0.19,0.16,4,0.00
玉米主力,2021-10-20 22:45,2580,2577,2581,2577,9377,241841410,0.16,-0.12,-3,0.00
玉米主力,2021-10-20 23:00,2578,2580,2580,2577,14130,364354320,0.12,0.12,3,0.00
玉米主力,2021-10-21 09:15,2581,2588,2589,2580,56946,1471953150,0.35,0.31,8,0.00
玉米主力,2021-10-21 09:30,2589,2588,2589,2585,17733,458687820,0.15,0.00,0,0.00
玉米主力,2021-10-21 09:45,2588,2587,2589,2587,8362,216402950,0.08,-0.04,-1,0.00
玉米主力,2021-10-21 10:00,2588,2589,2589,2585,13454,348101080,0.15,0.08,2,0.00
玉米主力,2021-10-21 10:15,2589,2586,2589,2583,15230,393811050,0.23,-0.12,-3,0.00
玉米主力,2021-10-21 10:45,2585,2591,2591,2585,13938,360728650,0.23,0.19,5,0.00
玉米主力,2021-10-21 11:00,2591,2588,2591,2588,10118,262000860,0.12,-0.12,-3,0.00
玉米主力,2021-10-21 11:15,2588,2589,2589,2587,6014,155639150,0.08,0.04,1,0.00
玉米主力,2021-10-21 11:30,2588,2589,2590,2587,9071,234786990,0.12,0.00,0,0.00
玉米主力,2021-10-21 13:45,2588,2589,2591,2588,14599,377998640,0.12,0.00,0,0.00
玉米主力,2021-10-21 14:00,2589,2585,2590,2584,15253,394574350,0.23,-0.15,-4,0.00
玉米主力,2021-10-21 14:15,2585,2585,2589,2584,23646,611521470,0.19,0.00,0,0.00
玉米主力,2021-10-21 14:30,2585,2585,2587,2584,12988,335773670,0.12,0.00,0,0.00
玉米主力,2021-10-21 14:45,2585,2574,2587,2570,59562,1534627820,0.66,-0.43,-11,0.00
玉米主力,2021-10-21 15:00,2574,2569,2574,2568,49779,1279608976,0.23,-0.19,-5,0.00
玉米主力,2021-10-21 21:15,2571,2578,2581,2565,64985,1672563544,0.62,0.35,9,0.00
玉米主力,2021-10-21 21:30,2579,2573,2583,2572,29945,771852270,0.43,-0.19,-5,0.00
玉米主力,2021-10-21 21:45,2573,2563,2578,2561,55478,1425021220,0.66,-0.39,-10,0.00
玉米主力,2021-10-21 22:00,2564,2568,2569,2560,39203,1005159790,0.35,0.20,5,0.00
玉米主力,2021-10-21 22:15,2567,2568,2569,2564,14294,366798530,0.19,0.00,0,0.00
玉米主力,2021-10-21 22:30,2567,2563,2568,2562,13244,339646380,0.23,-0.19,-5,0.00
玉米主力,2021-10-21 22:45,2562,2565,2568,2562,12263,314524770,0.23,0.08,2,0.00
玉米主力,2021-10-21 23:00,2564,2569,2571,2563,16647,427368880,0.31,0.16,4,0.00
玉米主力,2021-10-22 09:15,2569,2565,2574,2562,40498,1039958030,0.47,-0.16,-4,0.00
玉米主力,2021-10-22 09:30,2565,2568,2572,2565,29330,753519410,0.27,0.12,3,0.00
玉米主力,2021-10-22 09:45,2568,2569,2575,2568,22881,588423330,0.27,0.04,1,0.00
玉米主力,2021-10-22 10:00,2569,2577,2578,2568,26101,671915200,0.39,0.31,8,0.00
玉米主力,2021-10-22 10:15,2577,2571,2579,2570,20827,536435160,0.35,-0.23,-6,0.00
玉米主力,2021-10-22 10:45,2571,2566,2572,2565,22509,577862860,0.27,-0.19,-5,0.00
玉米主力,2021-10-22 11:00,2565,2566,2569,2564,17196,441251110,0.19,0.00,0,0.00
玉米主力,2021-10-22 11:15,2566,2565,2567,2562,23704,607953480,0.19,-0.04,-1,0.00
玉米主力,2021-10-22 11:30,2565,2567,2569,2564,13117,336678830,0.19,0.08,2,0.00
玉米主力,2021-10-22 13:45,2567,2570,2571,2566,22384,575006360,0.19,0.12,3,0.00
玉米主力,2021-10-22 14:00,2570,2569,2570,2567,7655,196616970,0.12,-0.04,-1,0.00
玉米主力,2021-10-22 14:15,2568,2568,2571,2566,20137,517189250,0.19,-0.04,-1,0.00
玉米主力,2021-10-22 14:30,2568,2568,2570,2567,13057,335390420,0.12,0.00,0,0.00
玉米主力,2021-10-22 14:45,2567,2565,2568,2564,22199,569527450,0.16,-0.12,-3,0.00
玉米主力,2021-10-22 15:00,2566,2568,2570,2564,23345,599228280,0.23,0.12,3,0.00
玉米主力,2021-10-22 21:15,2568,2565,2573,2564,56030,1439183556,0.35,-0.12,-3,0.00
玉米主力,2021-10-22 21:30,2564,2564,2568,2558,40361,1034328840,0.39,-0.04,-1,0.00
玉米主力,2021-10-22 21:45,2563,2563,2566,2562,15877,407044230,0.16,-0.04,-1,0.00
玉米主力,2021-10-22 22:00,2562,2567,2569,2562,24451,627411810,0.27,0.16,4,0.00
玉米主力,2021-10-22 22:15,2566,2563,2568,2563,11861,304319040,0.19,-0.16,-4,0.00
玉米主力,2021-10-22 22:30,2564,2555,2564,2555,38589,987282550,0.35,-0.31,-8,0.00
玉米主力,2021-10-22 22:45,2555,2547,2556,2540,98538,2508997542,0.63,-0.31,-8,0.00
玉米主力,2021-10-22 23:00,2547,2554,2555,2540,38661,984420820,0.59,0.27,7,0.00
玉米主力,2021-10-25 09:15,2555,2579,2586,2555,123204,3176477152,1.21,0.98,25,0.00
玉米主力,2021-10-25 09:30,2580,2591,2594,2575,57217,1477028284,0.74,0.47,12,0.00
玉米主力,2021-10-25 09:45,2591,2604,2606,2587,112622,2925603970,0.73,0.50,13,0.00
玉米主力,2021-10-25 10:00,2605,2608,2614,2604,83196,2170098490,0.38,0.15,4,0.00
玉米主力,2021-10-25 10:15,2608,2603,2609,2601,45464,1184394240,0.31,-0.19,-5,0.00
玉米主力,2021-10-25 10:45,2604,2604,2605,2600,27435,714066670,0.19,0.04,1,0.00
玉米主力,2021-10-25 11:00,2604,2608,2608,2602,26590,692662400,0.23,0.15,4,0.00
玉米主力,2021-10-25 11:15,2608,2606,2609,2605,18718,487944920,0.15,-0.08,-2,0.00
玉米主力,2021-10-25 11:30,2607,2604,2607,2602,15483,403299090,0.19,-0.08,-2,0.00
玉米主力,2021-10-25 13:45,2605,2603,2606,2600,20615,536623510,0.23,-0.04,-1,0.00
玉米主力,2021-10-25 14:00,2602,2609,2610,2600,26946,702241310,0.38,0.23,6,0.00
玉米主力,2021-10-25 14:15,2610,2615,2615,2607,35343,922795340,0.31,0.23,6,0.00
玉米主力,2021-10-25 14:30,2615,2614,2615,2611,22021,575472170,0.15,-0.04,-1,0.00
玉米主力,2021-10-25 14:45,2613,2612,2621,2609,43570,1139769630,0.46,-0.08,-2,0.00
玉米主力,2021-10-25 15:00,2611,2618,2619,2607,29175,762166170,0.46,0.23,6,0.00
玉米主力,2021-10-25 21:15,2622,2629,2629,2620,80167,2103681294,0.34,0.42,11,0.00
玉米主力,2021-10-25 21:30,2628,2633,2637,2625,52109,1370647890,0.46,0.15,4,0.00
玉米主力,2021-10-25 21:45,2634,2627,2644,2625,78397,2066339596,0.72,-0.23,-6,0.00
玉米主力,2021-10-25 22:00,2626,2622,2626,2618,58582,1536076420,0.30,-0.19,-5,0.00
玉米主力,2021-10-25 22:15,2621,2622,2623,2615,29916,783579050,0.31,0.00,0,0.00
玉米主力,2021-10-25 22:30,2621,2619,2622,2617,13948,365299140,0.19,-0.11,-3,0.00
玉米主力,2021-10-25 22:45,2619,2619,2622,2618,11575,303212310,0.15,0.00,0,0.00
玉米主力,2021-10-25 23:00,2619,2619,2622,2618,16473,431476930,0.15,0.00,0,0.00
玉米主力,2021-10-26 09:15,2621,2624,2625,2618,42152,1105181850,0.27,0.19,5,0.00
玉米主力,2021-10-26 09:30,2624,2624,2626,2621,25098,658392970,0.19,0.00,0,0.00
玉米主力,2021-10-26 09:45,2623,2616,2624,2614,26436,692292440,0.38,-0.30,-8,0.00
玉米主力,2021-10-26 10:00,2615,2609,2617,2608,47751,1247275800,0.34,-0.27,-7,0.00
玉米主力,2021-10-26 10:15,2609,2614,2615,2608,24875,649497760,0.27,0.19,5,0.00
玉米主力,2021-10-26 10:45,2613,2614,2615,2610,16761,437995840,0.19,0.00,0,0.00
玉米主力,2021-10-26 11:00,2615,2614,2616,2613,9654,252409010,0.11,0.00,0,0.00
玉米主力,2021-10-26 11:15,2615,2615,2616,2612,11041,288621090,0.15,0.04,1,0.00
玉米主力,2021-10-26 11:30,2616,2617,2618,2614,8867,231975630,0.15,0.08,2,0.00
玉米主力,2021-10-26 13:45,2617,2622,2623,2616,38373,1005565430,0.27,0.19,5,0.00
玉米主力,2021-10-26 14:00,2622,2627,2628,2622,25104,659101110,0.23,0.19,5,0.00
玉米主力,2021-10-26 14:15,2628,2628,2632,2625,23881,627801470,0.27,0.04,1,0.00
玉米主力,2021-10-26 14:30,2627,2624,2628,2623,14287,375021510,0.19,-0.15,-4,0.00
玉米主力,2021-10-26 14:45,2625,2624,2626,2623,8612,226037020,0.11,0.00,0,0.00
玉米主力,2021-10-26 15:00,2624,2628,2630,2621,26056,683784030,0.34,0.15,4,0.00
玉米主力,2021-10-26 21:15,2627,2620,2627,2618,48699,1276694096,0.34,-0.30,-8,0.00
玉米主力,2021-10-26 21:30,2621,2617,2622,2613,34401,900124070,0.34,-0.11,-3,0.00
玉米主力,2021-10-26 21:45,2617,2618,2619,2615,13843,362272800,0.15,0.04,1,0.00
玉米主力,2021-10-26 22:00,2618,2616,2619,2615,13845,362302750,0.15,-0.08,-2,0.00
玉米主力,2021-10-26 22:15,2616,2615,2617,2613,12195,318819720,0.15,-0.04,-1,0.00
玉米主力,2021-10-26 22:30,2615,2613,2617,2613,8246,215639520,0.15,-0.08,-2,0.00
玉米主力,2021-10-26 22:45,2613,2611,2615,2610,10529,275061520,0.19,-0.08,-2,0.00
玉米主力,2021-10-26 23:00,2612,2611,2612,2609,17213,449380060,0.11,0.00,0,0.00
玉米主力,2021-10-27 09:15,2611,2617,2619,2611,36772,961797500,0.31,0.23,6,0.00
玉米主力,2021-10-27 09:30,2617,2613,2618,2612,12859,336211790,0.23,-0.15,-4,0.00
玉米主力,2021-10-27 09:45,2613,2615,2616,2611,11909,311260190,0.19,0.08,2,0.00
玉米主力,2021-10-27 10:00,2615,2617,2617,2612,14815,387322640,0.19,0.08,2,0.00
玉米主力,2021-10-27 10:15,2617,2610,2617,2609,16779,438501360,0.31,-0.27,-7,0.00
玉米主力,2021-10-27 10:45,2610,2602,2610,2602,38136,994202150,0.31,-0.31,-8,0.00
玉米主力,2021-10-27 11:00,2603,2604,2605,2597,35157,914515964,0.31,0.08,2,0.00
玉米主力,2021-10-27 11:15,2604,2606,2606,2601,14774,384590990,0.19,0.08,2,0.00
玉米主力,2021-10-27 11:30,2606,2606,2607,2603,13581,353827200,0.15,0.00,0,0.00
玉米主力,2021-10-27 13:45,2606,2604,2610,2604,12881,335817020,0.23,-0.08,-2,0.00
玉米主力,2021-10-27 14:00,2605,2606,2607,2602,11990,312264180,0.19,0.08,2,0.00
玉米主力,2021-10-27 14:15,2605,2604,2608,2603,12887,335795240,0.19,-0.08,-2,0.00
玉米主力,2021-10-27 14:30,2604,2606,2606,2604,8794,229105630,0.08,0.08,2,0.00
玉米主力,2021-10-27 14:45,2605,2602,2606,2601,16740,435842360,0.19,-0.15,-4,0.00
玉米主力,2021-10-27 15:00,2601,2609,2610,2601,31554,822555680,0.35,0.27,7,0.00
玉米主力,2021-10-27 21:15,2609,2595,2611,2594,69208,1801010676,0.65,-0.54,-14,0.00
玉米主力,2021-10-27 21:30,2595,2600,2601,2593,30032,779845670,0.31,0.19,5,0.00
玉米主力,2021-10-27 21:45,2600,2602,2605,2600,20952,545265940,0.19,0.08,2,0.00
玉米主力,2021-10-27 22:00,2602,2607,2607,2600,17701,460701820,0.27,0.19,5,0.00
玉米主力,2021-10-27 22:15,2607,2606,2608,2604,16022,417503290,0.15,-0.04,-1,0.00
玉米主力,2021-10-27 22:30,2607,2606,2607,2604,12416,323475670,0.12,0.00,0,0.00
玉米主力,2021-10-27 22:45,2606,2605,2608,2604,12032,313616480,0.15,-0.04,-1,0.00
玉米主力,2021-10-27 23:00,2606,2608,2610,2605,18031,470215300,0.19,0.12,3,0.00
玉米主力,2021-10-28 09:15,2608,2600,2608,2596,51205,1331987340,0.46,-0.31,-8,0.00
玉米主力,2021-10-28 09:30,2600,2604,2609,2600,61079,1591843750,0.35,0.15,4,0.00
玉米主力,2021-10-28 09:45,2603,2601,2605,2599,19991,520136610,0.23,-0.12,-3,0.00
玉米主力,2021-10-28 10:00,2601,2600,2603,2600,10146,263914370,0.12,-0.04,-1,0.00
玉米主力,2021-10-28 10:15,2600,2591,2600,2590,41425,1075195480,0.38,-0.35,-9,0.00
玉米主力,2021-10-28 10:45,2591,2575,2591,2573,154366,3986558796,0.69,-0.62,-16,0.00
玉米主力,2021-10-28 11:00,2575,2572,2580,2571,72558,1869034682,0.35,-0.12,-3,0.00
玉米主力,2021-10-28 11:15,2573,2568,2574,2565,54824,1408567932,0.35,-0.16,-4,0.00
