trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2021-01-04,000612.SZ,7.02,7.53,6.94,7.47,7.02,0.45,6.4103,501458.44,367744.016
2021-01-05,000612.SZ,7.44,7.74,7.43,7.6,7.47,0.13,1.7403,561652.75,426105.858
2021-01-06,000612.SZ,7.59,7.72,7.4,7.61,7.6,0.01,0.1316,412284.57,311439.387
2021-01-07,000612.SZ,7.52,7.96,7.36,7.88,7.61,0.27,3.548,630751.1,489016.921
2021-01-08,000612.SZ,7.82,7.82,7.41,7.64,7.88,-0.24,-3.0457,357465.12,270646.854
2021-01-11,000612.SZ,7.58,7.6,7.18,7.18,7.64,-0.46,-6.0209,345089.76,253724.62
2021-01-12,000612.SZ,7.04,7.22,6.88,7.01,7.18,-0.17,-2.3677,344196.22,241546.031
2021-01-13,000612.SZ,7.02,7.16,6.89,6.92,7.01,-0.09,-1.2839,257506.04,180888.476
2021-01-14,000612.SZ,6.91,6.91,6.23,6.27,6.92,-0.65,-9.3931,450808.02,287597.388
2021-01-15,000612.SZ,6.89,6.9,6.63,6.9,6.27,0.63,10.0478,362870.88,249527.096
2021-01-18,000612.SZ,7.38,7.59,7.26,7.59,6.9,0.69,10.0,235464.61,175314.61
2021-01-19,000612.SZ,8.3,8.3,7.34,7.38,7.59,-0.21,-2.7668,1102636.15,867334.509
2021-01-20,000612.SZ,7.21,8.12,7.05,8.12,7.38,0.74,10.0271,1016270.27,764692.57
2021-01-21,000612.SZ,7.97,8.8,7.66,8.44,8.12,0.32,3.9409,1422564.57,1201478.684
2021-01-22,000612.SZ,8.16,8.67,8.0,8.19,8.44,-0.25,-2.9621,977890.46,806041.339
2021-01-25,000612.SZ,8.08,8.32,7.78,7.8,8.19,-0.39,-4.7619,825600.45,662561.679
2021-01-26,000612.SZ,7.79,8.12,7.62,8.03,7.8,0.23,2.9487,646917.49,509957.101
2021-01-27,000612.SZ,7.86,7.91,7.49,7.75,8.03,-0.28,-3.4869,473045.19,363236.402
