<DTYYYYMMDD>_<TIME>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2001-01-02 23:01:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:02:00,EURUSD,0.9506,0.9506,0.9505,0.9505,4
2001-01-02 23:03:00,EURUSD,0.9505,0.9507,0.9505,0.9506,4
2001-01-02 23:04:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-02 23:05:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-02 23:06:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-02 23:07:00,EURUSD,0.9505,0.9507,0.9505,0.9507,4
2001-01-02 23:08:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:09:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:10:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:11:00,EURUSD,0.9507,0.9507,0.9506,0.9507,4
2001-01-02 23:12:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:13:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:14:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:15:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:16:00,EURUSD,0.9507,0.9507,0.9506,0.9506,4
2001-01-02 23:20:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:21:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:22:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:23:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:24:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:30:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:31:00,EURUSD,0.9508,0.9508,0.9508,0.9508,4
2001-01-02 23:35:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:36:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:37:00,EURUSD,0.9507,0.9508,0.9507,0.9508,4
2001-01-02 23:38:00,EURUSD,0.9509,0.9509,0.9509,0.9509,4
2001-01-02 23:39:00,EURUSD,0.9509,0.9509,0.9509,0.9509,4
2001-01-02 23:40:00,EURUSD,0.9509,0.9509,0.9509,0.9509,4
2001-01-02 23:41:00,EURUSD,0.9508,0.9508,0.9508,0.9508,4
2001-01-02 23:44:00,EURUSD,0.9508,0.9508,0.9508,0.9508,4
2001-01-02 23:45:00,EURUSD,0.9508,0.9508,0.9508,0.9508,4
2001-01-02 23:47:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:49:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:50:00,EURUSD,0.9507,0.9508,0.9506,0.9506,4
2001-01-02 23:51:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-02 23:52:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-02 23:53:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:54:00,EURUSD,0.9507,0.9507,0.9506,0.9506,4
2001-01-02 23:55:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:56:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:57:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:58:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-02 23:59:00,EURUSD,0.9507,0.9507,0.9506,0.9506,4
2001-01-03 00:00:00,EURUSD,0.9506,0.9507,0.9506,0.9507,4
2001-01-03 00:01:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-03 00:02:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-03 00:03:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-03 00:04:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-03 00:05:00,EURUSD,0.9507,0.9507,0.9506,0.9507,4
2001-01-03 00:06:00,EURUSD,0.9507,0.9507,0.9506,0.9506,4
2001-01-03 00:07:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:08:00,EURUSD,0.9507,0.9507,0.9506,0.9506,4
2001-01-03 00:09:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:11:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:12:00,EURUSD,0.9506,0.9506,0.9505,0.9506,4
2001-01-03 00:13:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:14:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:15:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:17:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:18:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:19:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:20:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:21:00,EURUSD,0.9506,0.9506,0.9506,0.9506,4
2001-01-03 00:22:00,EURUSD,0.9506,0.9507,0.9506,0.9507,4
2001-01-03 00:23:00,EURUSD,0.9507,0.9507,0.9507,0.9507,4
2001-01-03 00:24:00,EURUSD,0.9508,0.9508,0.9507,0.9507,4
2001-01-03 00:25:00,EURUSD,0.9508,0.951,0.9508,0.951,4
2001-01-03 00:26:00,EURUSD,0.951,0.951,0.9509,0.9509,4
2001-01-03 00:27:00,EURUSD,0.9509,0.9509,0.9509,0.9509,4
2001-01-03 00:28:00,EURUSD,0.9509,0.9509,0.9509,0.9509,4
2001-01-03 00:29:00,EURUSD,0.9508,0.9508,0.9507,0.9507,4
2001-01-03 00:30:00,EURUSD,0.9508,0.9508,0.9507,0.9507,4
